#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.62756     1.64543  0.00124252
         169     1.61284     1.64524  0.00125005
         170     1.62361     1.64511  0.00124916
         171     1.60162     1.64486  0.00126748
         172     1.65591     1.64492  0.00126174
         173     1.64276     1.64491  0.00125451
         174     1.62299     1.64479  0.00125361
         175     1.65253     1.64483  0.00124723
         176     1.64722     1.64484  0.00124022
         177     1.65774     1.64492  0.00123535
         178      1.6511     1.64495   0.0012289
         179     1.65702     1.64502  0.00122388
         180     1.64733     1.64503  0.00121715
         181     1.64803     1.64505  0.00121054
         182     1.63305     1.64498  0.00120568
         183     1.67432     1.64514   0.0012097
         184     1.65045     1.64517  0.00120347
         185     1.62598     1.64507  0.00120143
         186     1.64706     1.64508  0.00119502
         187     1.64917      1.6451  0.00118883
         188     1.64811     1.64512  0.00118261
         189     1.61384     1.64495  0.00118788
         190      1.6446     1.64495  0.00118163
         191     1.64493     1.64495  0.00117544
         192     1.65503       1.645  0.00117049
         193     1.60317     1.64478  0.00118432
         194     1.63118     1.64471   0.0011803
         195     1.67762     1.64488  0.00118625
         196     1.65789     1.64495  0.00118205
         197     1.61876     1.64482   0.0011835
         198     1.65557     1.64487  0.00117877
         199     1.65302     1.64491  0.00117356
         200     1.66219       1.645  0.00117086
