#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         161     1.56916   -0.841013    0.216097
         162     1.56512   -0.826161    0.215273
         163     1.56253   -0.811506     0.21445
         164     1.55992   -0.797046     0.21363
         165     1.55682    -0.78278    0.212811
         166     1.55344   -0.768707    0.211993
         167     1.54933   -0.754826    0.211178
         168     1.54499   -0.741137    0.210364
         169      1.5414   -0.727631    0.209553
         170     1.53694    -0.71431    0.208743
         171     1.53381   -0.701163    0.207936
         172     1.52992   -0.688191    0.207131
         173     1.52534   -0.675396    0.206329
         174     1.52207   -0.662767    0.205529
         175     1.51826   -0.650304    0.204732
         176     1.51496   -0.638002    0.203938
         177     1.51104    -0.62586    0.203147
         178     1.50849   -0.613869    0.202359
         179     1.50596   -0.602027    0.201575
         180      1.5047   -0.590323    0.200795
         181     1.50403   -0.578752    0.200018
         182     1.50353   -0.567311    0.199246
         183     1.50392   -0.555992    0.198479
         184     1.50501   -0.544791    0.197716
         185     1.50702     -0.5337    0.196958
         186     1.50971   -0.522714    0.196205
         187     1.51282   -0.511829    0.195458
         188     1.51681   -0.501039    0.194716
         189     1.52066   -0.490342    0.193979
         190     1.52579    -0.47973    0.193248
         191     1.53116   -0.469202    0.192523
         192     1.53672   -0.458755    0.191803
         193     1.54289   -0.448384     0.19109
         194     1.55007   -0.438082    0.190382
         195     1.55674   -0.427852    0.189681
         196     1.56405    -0.41769    0.188985
         197     1.57096   -0.407595    0.188295
         198      1.5774    -0.39757    0.187611
         199     1.58331   -0.387616    0.186932
         200     1.59029   -0.377726    0.186259
         201     1.59638   -0.367905    0.185591
         202     1.60198   -0.358153    0.184928
         203     1.60802   -0.348467     0.18427
         204     1.61395   -0.338847    0.183618
         205     1.61925   -0.329296    0.182971
         206     1.62387   -0.319814    0.182328
         207     1.62827   -0.310403     0.18169
         208     1.63168   -0.301066    0.181056
         209     1.63526   -0.291802    0.180427
         210     1.63826   -0.282611    0.179801
         211     1.64064   -0.273496     0.17918
         212     1.64189   -0.264461    0.178563
         213     1.64245   -0.255508    0.177949
         214     1.64181   -0.246643    0.177338
         215     1.64017   -0.237867     0.17673
         216     1.63965   -0.229174    0.176125
         217      1.6366   -0.220576    0.175523
         218     1.63363   -0.212071    0.174924
         219     1.62951   -0.203662    0.174328
         220     1.62492    -0.19535    0.173733
         221     1.61862   -0.187142    0.173141
         222     1.61132   -0.179041     0.17255
         223     1.60324   -0.171049    0.171962
         224     1.59388   -0.163169    0.171374
         225     1.58302   -0.155409    0.170788
         226     1.57186   -0.147766    0.170204
         227     1.55875   -0.140248     0.16962
         228     1.54614   -0.132852    0.169037
         229     1.53215   -0.125581    0.168455
         230     1.51686    -0.11844    0.167874
         231     1.50227   -0.111424    0.167294
         232      1.4851   -0.104542    0.166714
         233     1.46786  -0.0977938    0.166135
         234     1.44969  -0.0911807    0.165557
         235     1.43169  -0.0847004    0.164979
         236     1.41373  -0.0783511    0.164402
         237     1.39545  -0.0721325    0.163826
         238     1.37794  -0.0660398    0.163251
         239     1.35961  -0.0600747    0.162677
         240     1.34229  -0.0542315    0.162104
         241     1.32461  -0.0485102    0.161532
         242     1.30764  -0.0429063    0.160962
         243     1.29098   -0.037417    0.160393
         244     1.27472  -0.0320394    0.159826
         245     1.25963  -0.0267673     0.15926
         246     1.24481  -0.0215983    0.158697
         247     1.23198   -0.016523    0.158135
         248     1.21924  -0.0115401    0.157576
         249     1.20806 -0.00664217     0.15702
         250     1.19796 -0.00182377    0.156465
         251     1.18798  0.00291648    0.155914
         252     1.17835  0.00758091    0.155365
         253     1.17026   0.0121765    0.154819
         254     1.16273   0.0167062    0.154275
         255     1.15596   0.0211739    0.153735
         256      1.1497   0.0255822    0.153198
         257     1.14413   0.0299345    0.152664
         258     1.13923   0.0342341    0.152132
         259     1.13471   0.0384831    0.151604
         260      1.1315    0.042687    0.151079
         261     1.12883   0.0468485    0.150558
         262     1.12667   0.0509699     0.15004
         263     1.12497   0.0550536    0.149525
         264     1.12395   0.0591024    0.149013
         265     1.12355   0.0631192    0.148505
         266     1.12255   0.0671021       0.148
         267     1.12211   0.0710534    0.147499
         268     1.12173   0.0749738       0.147
         269     1.12162   0.0788647    0.146505
         270      1.1215   0.0827263    0.146014
         271      1.1221   0.0865617    0.145525
         272     1.12361   0.0903743     0.14504
         273     1.12459   0.0941627    0.144558
         274     1.12551   0.0979267     0.14408
         275     1.12754    0.101671    0.143604
         276      1.1295    0.105395    0.143132
         277     1.13136    0.109099    0.142663
         278     1.13385    0.112785    0.142198
         279     1.13529     0.11645    0.141735
         280     1.13688    0.120094    0.141276
         281     1.13864    0.123719     0.14082
         282     1.14081    0.127325    0.140367
         283     1.14339    0.130916    0.139917
         284     1.14713    0.134494     0.13947
         285     1.15012    0.138058    0.139026
         286     1.15381    0.141609    0.138585
         287     1.15725    0.145148    0.138147
         288     1.16071    0.148674    0.137713
         289     1.16494    0.152191    0.137281
         290     1.16994      0.1557    0.136853
         291     1.17405      0.1592    0.136427
         292     1.17897    0.162692    0.136004
         293     1.18376    0.166177    0.135585
         294     1.18963    0.169658    0.135168
         295     1.19613    0.173138    0.134755
         296     1.20229    0.176615    0.134345
         297     1.20956    0.180092    0.133937
         298     1.21651     0.18357    0.133533
         299     1.22411     0.18705    0.133132
         300     1.23258    0.190536    0.132734
         301     1.24169    0.194028    0.132339
