# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     3.48839   0.0370509   0.0292833  0.00256328
     3.67696   0.0271667   0.0246565  0.00352375
     3.86552   0.0200417   0.0227796  0.00496091
     4.05408   0.0197269   0.0163676 0.000877563
     4.24264   0.0211389   0.0162111  0.00332231
      4.4312   0.0194074  0.00952407  0.00303504
     4.61976  0.00981019   0.0049787  0.00212853
     4.80833  0.00422222  0.00264444  0.00136876
     4.99689  0.00112037  0.00172037 0.000720573
     5.18545  0.00193519  0.00118056 0.000467342
     5.37401           0 0.000818519 0.000608312
     5.56257           0  0.00126204  0.00102008
   0.0942809 5.09259e-05 3.47222e-05 2.36507e-05
    0.282843   0.0023287   0.0012392 0.000443874
    0.471405     0.01575   0.0075162  0.00197939
    0.659966   0.0234907   0.0170532  0.00258611
    0.848528   0.0221435   0.0175417  0.00215989
     1.03709   0.0325278   0.0378735  0.00319796
     1.22565   0.0738704   0.0601181  0.00754619
     1.41421   0.0605602   0.0656605  0.00453158
     1.60278   0.0739167   0.0630872  0.00364189
     1.79134   0.0486157   0.0689236  0.00615352
      1.9799     0.06725   0.0792052  0.00963036
     2.16846   0.0587639   0.0733472  0.00438998
     2.35702   0.0894954   0.0734699  0.00381504
     2.54558   0.0668333    0.078936  0.00613093
     2.73415   0.0635694   0.0656412  0.00505403
     2.92271   0.0662963   0.0549823  0.00325792
     3.11127   0.0539213    0.054875  0.00358985
     3.29983   0.0411944   0.0442924  0.00332696
     3.48839   0.0199769   0.0277323  0.00256274
     3.67696   0.0259352   0.0248696   0.0029429
     3.86552   0.0154074   0.0215509  0.00428355
     4.05408   0.0210463   0.0171474  0.00102055
     4.24264   0.0178472   0.0164838  0.00277976
      4.4312  0.00421759  0.00863966  0.00265493
     4.61976      0.0085  0.00556559  0.00185292
     4.80833  0.00884259  0.00367747  0.00147998
     4.99689  0.00822222  0.00280401  0.00115721
     5.18545  0.00220833  0.00135185 0.000419672
     5.37401  0.00149074 0.000930556 0.000517141
     5.56257  0.00197222   0.0013804 0.000856909
   0.0942809  0.00128241 0.000212963 0.000166259
    0.282843  0.00470833  0.00173479  0.00059605
    0.471405   0.0138657  0.00842328  0.00189309
    0.659966    0.037088   0.0199153  0.00345471
    0.848528   0.0362963   0.0202209   0.0030952
     1.03709   0.0623843    0.041375  0.00424535
     1.22565   0.0437546   0.0577804  0.00682063
     1.41421   0.0472685   0.0630331  0.00458304
     1.60278   0.0466389   0.0607374  0.00380488
     1.79134   0.0632639   0.0681151   0.0053273
      1.9799   0.0733935    0.078375   0.0082903
     2.16846   0.0752037   0.0736124  0.00377084
     2.35702   0.0716667   0.0732123  0.00327872
     2.54558   0.0735741     0.07817  0.00530272
     2.73415    0.068412    0.066037   0.0043475
     2.92271    0.047875   0.0539669  0.00294647
     3.11127     0.05225      0.0545  0.00309654
     3.29983    0.035537   0.0430417  0.00307783
     3.48839   0.0155694   0.0259947  0.00272268
     3.67696   0.0156528   0.0235529  0.00280159
     3.86552   0.0206481    0.021422  0.00367356
     4.05408   0.0367963   0.0199544  0.00274204
     4.24264   0.0108704   0.0156819  0.00249564
      4.4312  0.00635185  0.00831283  0.00229568
     4.61976  0.00480556  0.00545701  0.00159139
     4.80833   0.0143889  0.00520767  0.00190164
     4.99689  0.00793056  0.00353638   0.0012015
     5.18545  0.00407407  0.00174074 0.000508947
     5.37401  0.00281944   0.0012004 0.000508817
     5.56257   0.0015463   0.0014041 0.000734821
   0.0942809 0.000421296 0.000239005 0.000147502
    0.282843  0.00503704  0.00214757  0.00064892
    0.471405   0.0217315   0.0100868  0.00227271
    0.659966   0.0305324   0.0212425  0.00326785
    0.848528   0.0429769   0.0230654  0.00379666
     1.03709   0.0395324   0.0411447  0.00372092
     1.22565   0.0367407   0.0551505  0.00645521
     1.41421   0.0616713   0.0628628  0.00401332
     1.60278   0.0521481   0.0596638  0.00347745
     1.79134   0.0606157   0.0671777  0.00474314
      1.9799   0.0739028    0.077816  0.00727284
     2.16846   0.0811713   0.0745573  0.00341581
     2.35702   0.0518333   0.0705399  0.00380517
