#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     2.21893       2.192  0.00124345
         169     2.21926     2.19216  0.00124651
         170     2.20783     2.19225  0.00124258
         171     2.16216     2.19208  0.00124772
         172     2.20801     2.19217   0.0012439
         173     2.18845     2.19215  0.00123689
         174     2.20794     2.19224  0.00123311
         175     2.21788     2.19239  0.00123474
         176     2.19717     2.19241  0.00122802
         177     2.20377     2.19248  0.00122276
         178     2.17765     2.19239  0.00121872
         179      2.1879     2.19237  0.00121217
         180     2.17521     2.19227  0.00120918
         181     2.15204     2.19205  0.00122275
         182     2.19741     2.19208  0.00121639
         183     2.20766     2.19216  0.00121272
         184     2.17046     2.19205  0.00121185
         185     2.18304       2.192  0.00120628
         186     2.17222     2.19189  0.00120447
         187      2.1879     2.19187  0.00119822
         188     2.19274     2.19188  0.00119186
         189     2.19466     2.19189  0.00118564
         190     2.21545     2.19201  0.00118587
         191     2.22684      2.1922   0.0011936
         192     2.22456     2.19236  0.00119922
         193     2.20185     2.19241  0.00119402
         194      2.1935     2.19242  0.00118787
         195     2.17328     2.19232  0.00118583
         196     2.19355     2.19233   0.0011798
         197     2.18813     2.19231    0.001174
         198     2.18236     2.19226  0.00116915
         199     2.18917     2.19224  0.00116338
         200     2.19588     2.19226   0.0011577
