#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     3.32839       3.288  0.00186518
         169     3.32889     3.28824  0.00186977
         170     3.31175     3.28838  0.00186388
         171     3.24324     3.28811  0.00187158
         172     3.31202     3.28825  0.00186585
         173     3.28267     3.28822  0.00185534
         174      3.3119     3.28836  0.00184966
         175     3.32681     3.28858   0.0018521
         176     3.29575     3.28862  0.00184203
         177     3.30566     3.28871  0.00183413
         178     3.26647     3.28859  0.00182808
         179     3.28185     3.28855  0.00181826
         180     3.26281     3.28841  0.00181377
         181     3.22807     3.28808  0.00183413
         182     3.29611     3.28812  0.00182458
         183     3.31149     3.28825  0.00181908
         184     3.25569     3.28807  0.00181778
         185     3.27456       3.288  0.00180942
         186     3.25833     3.28784  0.00180671
         187     3.28185     3.28781  0.00179733
         188      3.2891     3.28781  0.00178778
         189     3.29198     3.28783  0.00177846
         190     3.32318     3.28802   0.0017788
         191     3.34027     3.28829   0.0017904
         192     3.33683     3.28855  0.00179883
         193     3.30278     3.28862  0.00179102
         194     3.29025     3.28863  0.00178181
         195     3.25991     3.28848  0.00177875
         196     3.29033     3.28849   0.0017697
         197     3.28219     3.28846    0.001761
         198     3.27353     3.28838  0.00175372
         199     3.28376     3.28836  0.00174506
         200     3.29383     3.28839  0.00173655
