#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         169     3.20642     3.52618   0.0206285
         170     3.40041     3.52544   0.0205204
         171     3.68859     3.52639   0.0204226
         172      3.7011     3.52741   0.0203291
         173     3.06868     3.52475   0.0203838
         174     3.19233     3.52284    0.020356
         175     3.22583     3.52115   0.0203103
         176     3.74679     3.52243   0.0202353
         177     3.62243     3.52299   0.0201289
         178     3.91441     3.52519   0.0201355
         179     3.87711     3.52716   0.0201188
         180     3.75119      3.5284   0.0200455
         181      3.9361     3.53066   0.0200609
         182     4.13896       3.534   0.0202272
         183     3.37775     3.53314   0.0201347
         184     3.60332     3.53353   0.0200288
         185     3.60239      3.5339    0.019924
         186     3.52038     3.53383    0.019817
         187     3.60628     3.53421   0.0197149
         188     3.34926     3.53323   0.0196345
         189     3.50597     3.53309   0.0195312
         190     3.79264     3.53445   0.0194761
         191       3.638     3.53499   0.0193817
         192      3.3634      3.5341   0.0193013
         193      3.8433      3.5357   0.0192677
         194     3.09564     3.53343   0.0193014
         195     3.39551     3.53273   0.0192154
         196     3.01773      3.5301   0.0192962
         197     3.82714     3.53161    0.019257
         198     3.52414     3.53157   0.0191598
         199     3.74151     3.53262   0.0190926
         200     3.79364     3.53393   0.0190416
