#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -5.44207    -5.46716  0.00266198
         153    -5.49517    -5.46734  0.00265087
         154     -5.5375     -5.4678  0.00267252
         155    -5.46743     -5.4678  0.00265528
         156    -5.45432    -5.46771  0.00263966
         157    -5.47761    -5.46777   0.0026236
         158    -5.49651    -5.46795  0.00261329
         159    -5.46434    -5.46793  0.00259695
         160    -5.48601    -5.46805  0.00258318
         161    -5.44744    -5.46792   0.0025703
         162    -5.46653    -5.46791  0.00255445
         163    -5.45784    -5.46785  0.00253953
         164     -5.5065    -5.46808  0.00253496
         165    -5.41058    -5.46773  0.00254343
         166    -5.42032    -5.46745   0.0025441
         167    -5.43305    -5.46724  0.00253719
         168    -5.49769    -5.46742  0.00252855
         169    -5.45098    -5.46733  0.00251546
         170    -5.44954    -5.46722  0.00250284
         171    -5.44161    -5.46707  0.00249268
         172    -5.42773    -5.46684  0.00248866
         173    -5.42778    -5.46662   0.0024845
         174    -5.52857    -5.46697   0.0024956
         175    -5.47481    -5.46702  0.00248174
         176    -5.45635    -5.46696  0.00246838
         177    -5.45773    -5.46691  0.00245499
         178    -5.49095    -5.46704  0.00244491
         179    -5.43282    -5.46685  0.00243871
         180    -5.47205    -5.46688  0.00242534
         181    -5.42421    -5.46664  0.00242337
         182    -5.42736    -5.46643  0.00241964
         183    -5.52525    -5.46675  0.00242768
         184    -5.41239    -5.46645  0.00243239
         185     -5.4715    -5.46648   0.0024194
         186    -5.44753    -5.46638  0.00240853
         187    -5.52004    -5.46667  0.00241269
         188     -5.4827    -5.46675  0.00240136
         189    -5.49839    -5.46692  0.00239448
         190    -5.43576    -5.46675  0.00238749
         191    -5.48748    -5.46686  0.00237746
         192     -5.4473    -5.46676  0.00236726
         193    -5.42754    -5.46656   0.0023637
         194    -5.46688    -5.46656  0.00235151
         195    -5.45978    -5.46652  0.00233971
         196    -5.40061    -5.46619  0.00235182
         197     -5.4323    -5.46602  0.00234616
         198    -5.43205    -5.46584  0.00234058
         199    -5.47086    -5.46587  0.00232895
         200     -5.4613    -5.46585  0.00231742
