# mu = 1, sigma = 1
BLOCK, ACTUAL_E, E_AVE, ERR
151, 1.18267, 0.637138, 0.00589225
152, 0.264936, 0.634689, 0.00583576
153, 1.14017, 0.637993, 0.00581002
154, 0.674117, 0.638228, 0.00576421
155, 0.504785, 0.637367, 0.00571437
156, 0.571205, 0.636943, 0.00566698
157, 1.49702, 0.642421, 0.00566454
158, 0.192031, 0.63957, 0.00561155
159, -0.113583, 0.634833, 0.0055589
160, 0.294943, 0.632709, 0.00550866
161, 0.509025, 0.631941, 0.00546299
162, 2.44415, 0.643127, 0.00554183
163, 0.669833, 0.643291, 0.00550024
164, 0.284734, 0.641105, 0.00545157
165, -0.138856, 0.636378, 0.00540242
166, 1.97518, 0.644443, 0.00543329
167, 1.14176, 0.647421, 0.00541053
168, -0.234881, 0.642169, 0.00536334
169, 0.28945, 0.640082, 0.00531732
170, -0.0878914, 0.6358, 0.00527055
171, 0.479534, 0.634886, 0.00522868
172, 0.411479, 0.633587, 0.00518625
173, 0.0945695, 0.630471, 0.00514141
174, 1.13931, 0.633396, 0.00512131
175, 0.27543, 0.63135, 0.00507877
176, 0.683876, 0.631649, 0.00504398
177, 0.412474, 0.63041, 0.00500426
178, 0.947206, 0.63219, 0.00497814
179, 0.257883, 0.630099, 0.00493756
180, -0.0612534, 0.626258, 0.00489647
181, 0.140565, 0.623575, 0.0048562
182, 0.317206, 0.621892, 0.00481788
183, 1.27853, 0.62548, 0.00480635
184, 0.490354, 0.624745, 0.00477119
185, 0.137962, 0.622114, 0.00473279
186, 0.178365, 0.619728, 0.00469512
187, 0.672187, 0.620009, 0.00466486
188, 0.62517, 0.620036, 0.00463398
189, 1.36448, 0.623975, 0.00462726
190, 0.88211, 0.625334, 0.00460309
191, 0.413528, 0.624225, 0.0045696
192, 0.52089, 0.623687, 0.0045381
193, 0.419338, 0.622628, 0.00450552
194, 0.413323, 0.621549, 0.00447327
195, 0.522845, 0.621043, 0.00444299
196, 1.28401, 0.624425, 0.00443387
197, -0.0415929, 0.621044, 0.00440012
198, 0.227725, 0.619058, 0.00436753
199, 0.812875, 0.620032, 0.00434428
200, 0.103161, 0.617448, 0.00431183
201, 0.641995, 0.61757, 0.00428557
202, 0.558497, 0.617277, 0.00425818
203, 0.971061, 0.61902, 0.00424006
204, 1.88651, 0.625233, 0.00425871
205, 0.665597, 0.62543, 0.00423362
206, 0.236604, 0.623543, 0.00420353
207, 0.422458, 0.622571, 0.00417546
208, 0.385475, 0.621431, 0.00414732
209, 0.137371, 0.619115, 0.00411778
210, 2.12002, 0.626262, 0.00414769
211, 0.497644, 0.625653, 0.00412138
212, 1.41153, 0.62936, 0.00411782
213, 3.07289, 0.640832, 0.00420747
214, 0.735111, 0.641272, 0.00418457
215, 0.854257, 0.642263, 0.00416421
216, 1.52364, 0.646343, 0.00416319
217, 1.53721, 0.650449, 0.00416243
218, -0.0331447, 0.647313, 0.00413379
219, 0.391585, 0.646145, 0.00410724
220, -0.0783442, 0.642852, 0.0040793
221, 1.53161, 0.646874, 0.00407848
222, 0.268085, 0.645167, 0.00405171
