# VELOCITY:     AVE_POFV:        ERROR:
   0.0942809      0.0455   0.0159303
    0.282843       0.544   0.0700834
    0.471405       2.347    0.245453
    0.659966      3.2975    0.352928
    0.848528      4.6415    0.410039
     1.03709      4.2695    0.401859
     1.22565       3.968    0.697163
     1.41421      6.6605    0.433438
     1.60278       5.632    0.375565
     1.79134      6.5465     0.51226
      1.9799      7.9815    0.785467
     2.16846      8.7665    0.368908
     2.35702       5.598    0.410959
     2.54558       6.674    0.542089
     2.73415      6.6515    0.414662
     2.92271      6.8435    0.302682
     3.11127       5.809    0.292761
     3.29983       5.642    0.313195
     3.48839       3.847    0.284561
     3.67696       1.235    0.305793
     3.86552       2.265    0.347198
     4.05408      2.6735    0.266119
     4.24264       1.474    0.237233
      4.4312      0.6145    0.219456
     4.61976       2.037    0.226424
     4.80833        0.72    0.180647
     4.99689      0.0195    0.121192
     5.18545       0.035    0.051315
     5.37401      0.2855   0.0514209
     5.56257      0.6695   0.0921329
   0.0942809      0.0515   0.0144136
    0.282843      1.8375    0.179359
    0.471405      1.7045    0.227497
    0.659966       4.638    0.398373
    0.848528      3.9635    0.395775
     1.03709      4.8515    0.359755
     1.22565      5.3385     0.62307
     1.41421      7.0795    0.386477
     1.60278       5.097     0.36242
     1.79134      6.4355    0.463368
      1.9799        8.09    0.698967
     2.16846       7.479     0.33337
     2.35702        5.94    0.405404
     2.54558      5.8625    0.541521
     2.73415       4.353    0.465815
     2.92271      4.5865    0.304876
     3.11127       6.802     0.27771
     3.29983       6.921    0.357983
     3.48839      3.4225    0.257998
     3.67696      3.4075    0.292347
     3.86552      1.7735    0.313649
     4.05408       1.978    0.237903
     4.24264       1.076     0.21975
      4.4312       1.053    0.196092
     4.61976       2.184    0.249879
     4.80833      1.1915    0.172799
     4.99689       0.244    0.108162
     5.18545      0.0165   0.0483256
     5.37401      0.1075    0.045915
     5.56257      0.0925   0.0829176
   0.0942809        0.01   0.0130926
    0.282843      1.3275     0.18338
    0.471405       1.085    0.204864
    0.659966      3.4995    0.369572
    0.848528       4.557    0.399307
     1.03709      7.0575    0.405229
     1.22565       4.519    0.575598
     1.41421      6.1145    0.354236
     1.60278      7.0485    0.333938
     1.79134      7.0405    0.417196
      1.9799       6.474     0.65426
     2.16846       7.086     0.31201
     2.35702      4.8485    0.439531
     2.54558      6.3695     0.51017
     2.73415      6.5315    0.419843
     2.92271      3.9715    0.324786
     3.11127        7.92    0.310434
     3.29983      5.3425    0.323712
     3.48839       3.736    0.242709
     3.67696       3.454     0.27842
     3.86552      3.0395    0.292096
     4.05408       1.614    0.221046
     4.24264        1.02    0.205302
      4.4312      1.5045    0.186054
     4.61976      0.9195    0.224892
     4.80833       0.208    0.161069
     4.99689       0.016    0.101701
     5.18545      0.4515   0.0519543
     5.37401       0.221   0.0419559
     5.56257      0.1485   0.0748022
   0.0942809      0.0755   0.0126287
    0.282843        0.31    0.167538
    0.471405      1.3395    0.186959
    0.659966       3.927    0.353763
    0.848528      4.2695    0.383434
     1.03709       3.737    0.378625
     1.22565        5.11     0.52621
     1.41421       5.161    0.350276
     1.60278      8.2945    0.346413
     1.79134       8.556    0.398322
      1.9799       8.123    0.594803
     2.16846      6.9305    0.295789
     2.35702       5.609    0.421958
     2.54558       6.685    0.473758
     2.73415      7.9705    0.396158
     2.92271      5.0725     0.29905
     3.11127      5.0045    0.299846
     3.29983       4.772     0.29523
     3.48839        4.18    0.240856
     3.67696      2.7295    0.253397
     3.86552      2.6635    0.267136
     4.05408       2.442    0.202704
     4.24264      1.3025    0.187794
      4.4312      0.4835    0.173819
     4.61976      0.8205    0.204654
     4.80833      0.8865    0.148436
     4.99689      0.0905   0.0941439
     5.18545      0.2215   0.0473557
     5.37401       0.126    0.038209
     5.56257      0.2605    0.068223
   0.0942809       0.148   0.0148598
    0.282843      0.2915    0.154348
    0.471405      1.4495    0.172849
    0.659966       3.078    0.325241
    0.848528       3.551    0.354479
     1.03709        2.68    0.381139
     1.22565      2.7885    0.535121
     1.41421       5.225    0.339471
     1.60278       7.252    0.322523
