#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.59984    -5.89878   0.0169495
         153    -5.58944    -5.89676   0.0169588
         154    -5.59645    -5.89481   0.0169605
         155    -5.60872    -5.89296   0.0169512
         156    -5.60164    -5.89109   0.0169451
         157    -5.59378     -5.8892   0.0169426
         158    -5.60158    -5.88738   0.0169329
         159    -5.60717    -5.88562   0.0169179
         160    -5.59373    -5.88379   0.0169102
         161    -5.57994     -5.8819   0.0169102
         162    -5.60242    -5.88018   0.0168935
         163    -5.59801    -5.87845   0.0168784
         164    -5.58924    -5.87668   0.0168673
         165    -5.59033    -5.87495   0.0168541
         166    -5.58816    -5.87322   0.0168409
         167      -5.601    -5.87159   0.0168188
         168    -5.59186    -5.86993   0.0168009
         169    -5.59592     -5.8683   0.0167795
         170    -5.60444    -5.86675   0.0167525
         171    -5.58394     -5.8651   0.0167359
         172    -5.58417    -5.86347   0.0167181
         173    -5.58728    -5.86187   0.0166976
         174    -5.57346    -5.86021   0.0166837
         175    -5.52899    -5.85832   0.0166953
         176    -5.52263    -5.85641   0.0167091
         177     -5.5488    -5.85467   0.0167048
         178    -5.55875    -5.85301   0.0166935
         179    -5.56483     -5.8514   0.0166777
         180     -5.5283    -5.84961   0.0166813
         181     -5.5183    -5.84778   0.0166893
         182     -5.5131    -5.84594   0.0166986
         183    -5.51853    -5.84415   0.0167029
         184    -5.54151     -5.8425   0.0166929
         185    -5.58445    -5.84111   0.0166609
         186    -5.59883    -5.83981   0.0166221
         187    -5.59758    -5.83851   0.0165836
         188     -5.6105     -5.8373   0.0165397
         189    -5.62214    -5.83616   0.0164913
         190    -5.61781    -5.83501   0.0164445
         191    -5.62412    -5.83391   0.0163955
         192    -5.62196     -5.8328   0.0163472
         193    -5.61971     -5.8317   0.0162997
         194    -5.64372    -5.83073   0.0162445
         195     -5.6317    -5.82971   0.0161932
         196    -5.61826    -5.82863   0.0161465
         197    -5.59266    -5.82743   0.0161089
         198    -5.59385    -5.82625   0.0160707
         199    -5.56263    -5.82493   0.0160444
         200    -5.55229    -5.82356    0.016022
