#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         154    -1.90095    -3.45454   0.0958678
         155    -1.94299    -3.44479    0.095744
         156    -1.91769      -3.435   0.0956293
         157    -1.89118    -3.42516   0.0955245
         158    -1.92711    -3.41568   0.0953893
         159    -1.94797    -3.40645   0.0952349
         160    -1.86536    -3.39682   0.0951255
         161    -1.78432     -3.3868   0.0950605
         162    -1.88982    -3.37756   0.0949217
         163    -1.85601    -3.36823   0.0947973
         164    -1.79477    -3.35864   0.0947035
         165    -1.77205    -3.34902   0.0946165
         166     -1.7573    -3.33943   0.0945311
         167    -1.81726    -3.33032   0.0944034
         168    -1.77657    -3.32107   0.0942935
         169    -1.78113    -3.31196   0.0941748
         170    -1.80338    -3.30308   0.0940379
         171    -1.70093    -3.29371   0.0939536
         172    -1.70778    -3.28449   0.0938587
         173     -1.7257    -3.27548   0.0937477
         174    -1.65308    -3.26616   0.0936714
         175    -1.43316    -3.25568     0.09372
         176    -1.40015    -3.24514   0.0937786
         177    -1.52297    -3.23541   0.0937521
         178    -1.57396    -3.22608   0.0936889
         179    -1.60772    -3.21704   0.0936008
         180     -1.4508    -3.20722   0.0935937
         181    -1.40448    -3.19726    0.093605
         182    -1.38981    -3.18733   0.0936161
         183    -1.42664    -3.17771   0.0935976
         184    -1.55768    -3.16891   0.0935021
         185    -1.75017    -3.16124   0.0933107
         186    -1.80349    -3.15394   0.0930941
         187    -1.79869    -3.14669   0.0928779
         188    -1.85105     -3.1398   0.0926392
         189     -1.8986    -3.13323   0.0923815
         190    -1.86898    -3.12658   0.0921346
         191    -1.90361    -3.12017   0.0918745
         192     -1.9155     -3.1139     0.09161
         193    -1.91725     -3.1077   0.0913449
         194    -2.04538    -3.10222    0.091038
         195    -2.01835    -3.09667   0.0907407
         196    -1.94364    -3.09078   0.0904682
         197    -1.81672    -3.08432   0.0902398
         198    -1.83281    -3.07799   0.0900052
         199    -1.68992    -3.07102   0.0898228
         200    -1.64467    -3.06389   0.0896563
