# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
      4.4312        0.03  0.00428571   0.0039678
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0      0.0225   0.0210468
    0.282843        0.01      0.0375   0.0230827
    0.471405        1.05    0.175625    0.119953
    0.659966        0.56    0.103125   0.0634363
    0.848528       1.015    0.195625    0.115945
     1.03709       0.345    0.121875   0.0458082
     1.22565        1.81    0.290625    0.204974
     1.41421       1.115    0.241875    0.129313
     1.60278        4.39      0.8375    0.502758
     1.79134       3.255     1.62875    0.633484
      1.9799       2.465        0.94    0.330166
     2.16846           3     1.14375    0.382524
     2.35702       25.51     26.0763     7.63615
     2.54558      38.615     63.8575      7.8948
     2.73415      10.225     8.51812     2.02323
     2.92271       2.395     1.39875    0.416312
     3.11127       3.305    0.705625     0.38194
     3.29983       3.415        0.81    0.490816
     3.48839       3.005     0.48625    0.351051
     3.67696       0.515      0.1275   0.0780825
     3.86552        0.29       0.045   0.0337268
     4.05408       0.325    0.051875   0.0379549
     4.24264       0.385    0.055625   0.0445589
      4.4312        0.44     0.05875   0.0510648
     4.61976        0.39     0.04875   0.0456014
     4.80833        0.17     0.02125   0.0198776
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0        0.02   0.0188562
    0.282843         0.3   0.0666667   0.0343098
    0.471405       0.855    0.251111    0.128194
    0.659966        0.24    0.118333   0.0581823
    0.848528        0.85    0.268333    0.123778
     1.03709        0.88    0.206111   0.0892485
     1.22565        2.46    0.531667    0.291276
     1.41421        0.86    0.310556    0.131929
     1.60278        3.11        1.09    0.506348
     1.79134        3.81     1.87111    0.607693
      1.9799        3.69     1.24556    0.411244
     2.16846        3.36        1.39    0.411723
     2.35702       29.42     26.4478     6.79672
     2.54558      31.615      60.275     7.78813
     2.73415        8.76       8.545     1.79861
     2.92271        3.22     1.60111    0.416342
     3.11127       5.805     1.27222    0.632949
     3.29983        4.74     1.24667    0.599861
     3.48839        1.56    0.605556    0.331699
     3.67696       0.215    0.137222   0.0700093
     3.86552        1.25    0.178889    0.129743
     4.05408           0   0.0461111   0.0341726
     4.24264           0   0.0494444   0.0400343
      4.4312           1    0.163333    0.108548
     4.61976           0   0.0433333   0.0408551
     4.80833           0   0.0188889   0.0178086
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0       0.018   0.0170763
    0.282843        0.82       0.142   0.0778531
    0.471405        0.24        0.25     0.11538
    0.659966         1.4      0.2465    0.132386
    0.848528       1.905       0.432    0.191097
     1.03709       0.145         0.2   0.0805326
     1.22565       2.055       0.684    0.299344
     1.41421       0.905        0.37    0.131448
     1.60278       3.575      1.3385     0.51308
     1.79134       4.075      2.0915    0.585525
      1.9799        2.94       1.415     0.40352
     2.16846       6.235      1.8745    0.590402
     2.35702       23.52      26.155     6.12335
     2.54558        29.7     57.2175     7.58578
     2.73415        7.02      8.3925      1.6252
     2.92271        6.07       2.048    0.565813
     3.11127        8.13       1.958    0.864736
     3.29983         4.5       1.572     0.62187
     3.48839       2.615      0.8065    0.354204
     3.67696         0.1      0.1335   0.0631072
     3.86552       1.035      0.2645    0.142237
     4.05408       0.015       0.043   0.0308966
     4.24264           0      0.0445   0.0363349
      4.4312           1       0.247    0.125873
     4.61976           0       0.039   0.0369986
     4.80833           0       0.017   0.0161276
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809       0.035   0.0195455   0.0155937
    0.282843        0.36    0.161818   0.0732545
    0.471405        0.78    0.298182     0.11451
