#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     2.59546     2.59731  8.7612e-05
         153     2.59545      2.5973 8.78848e-05
         154     2.59545     2.59729 8.81293e-05
         155     2.59547     2.59728 8.83365e-05
         156     2.59551     2.59727 8.84959e-05
         157     2.59555     2.59726 8.86023e-05
         158     2.59561     2.59725 8.86526e-05
         159     2.59567     2.59724 8.86461e-05
         160     2.59575     2.59723 8.85791e-05
         161     2.59582     2.59722 8.84575e-05
         162      2.5959     2.59721 8.82849e-05
         163     2.59598      2.5972 8.80643e-05
         164     2.59606      2.5972 8.78006e-05
         165     2.59614     2.59719  8.7502e-05
         166     2.59621     2.59718 8.71719e-05
         167     2.59629     2.59718 8.68157e-05
         168     2.59636     2.59717 8.64367e-05
         169     2.59643     2.59717 8.60381e-05
         170      2.5965     2.59716  8.5623e-05
         171     2.59656     2.59716 8.51955e-05
         172     2.59662     2.59716 8.47586e-05
         173     2.59667     2.59716 8.43152e-05
         174     2.59672     2.59715  8.3867e-05
         175     2.59677     2.59715 8.34162e-05
         176     2.59681     2.59715 8.29644e-05
         177     2.59685     2.59715 8.25127e-05
         178     2.59689     2.59715 8.20616e-05
         179     2.59692     2.59714 8.16128e-05
         180     2.59695     2.59714 8.11667e-05
         181     2.59698     2.59714 8.07235e-05
         182       2.597     2.59714 8.02838e-05
         183     2.59702     2.59714  7.9848e-05
         184     2.59703     2.59714 7.94162e-05
         185     2.59705     2.59714 7.89882e-05
         186     2.59707     2.59714 7.85645e-05
         187     2.59709     2.59714 7.81449e-05
         188      2.5971     2.59714 7.77295e-05
         189     2.59711     2.59714 7.73185e-05
         190     2.59711     2.59714 7.69116e-05
         191     2.59712     2.59714  7.6509e-05
         192     2.59713     2.59714 7.61105e-05
         193     2.59714     2.59714 7.57162e-05
         194     2.59715     2.59714 7.53259e-05
         195     2.59716     2.59714 7.49397e-05
         196     2.59717     2.59714 7.45576e-05
         197     2.59719     2.59714 7.41795e-05
         198      2.5972     2.59714 7.38055e-05
         199     2.59721     2.59714 7.34354e-05
         200     2.59722     2.59714 7.30693e-05
         201     2.59723     2.59714 7.27072e-05
         202     2.59725     2.59714 7.23493e-05
         203     2.59726     2.59714 7.19953e-05
         204     2.59727     2.59714 7.16453e-05
         205     2.59729     2.59714 7.12995e-05
         206     2.59731     2.59714 7.09579e-05
