#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     2.94387     2.94795  0.00158758
         169      2.9448     2.94793  0.00157829
         170     2.94566     2.94792  0.00156907
         171     2.94646     2.94791  0.00155991
         172      2.9472     2.94791  0.00155085
         173     2.94788     2.94791  0.00154188
         174     2.94851     2.94791  0.00153303
         175     2.94909     2.94792  0.00152428
         176     2.94962     2.94793  0.00151565
         177     2.95011     2.94794  0.00150714
         178     2.95056     2.94796  0.00149874
         179     2.95098     2.94797  0.00149047
         180     2.95136     2.94799   0.0014823
         181     2.95172     2.94801  0.00147426
         182     2.95205     2.94803  0.00146632
         183     2.95235     2.94806   0.0014585
         184     2.95264     2.94808  0.00145079
         185     2.95291     2.94811  0.00144318
         186     2.95315     2.94814  0.00143568
         187     2.95339     2.94816  0.00142827
         188     2.95361     2.94819  0.00142097
         189     2.95381     2.94822  0.00141376
         190       2.954     2.94825  0.00140665
         191     2.95419     2.94828  0.00139963
         192     2.95436     2.94832  0.00139269
         193     2.95452     2.94835  0.00138585
         194     2.95467     2.94838  0.00137909
         195     2.95481     2.94841  0.00137241
         196     2.95494     2.94845  0.00136581
         197     2.95506     2.94848  0.00135929
         198     2.95516     2.94851  0.00135284
         199     2.95526     2.94855  0.00134647
         200     2.95535     2.94858  0.00134017
         201     2.95542     2.94862  0.00133393
         202     2.95549     2.94865  0.00132776
         203     2.95554     2.94868  0.00132165
         204     2.95557     2.94872  0.00131561
         205     2.95559     2.94875  0.00130962
         206      2.9556     2.94878  0.00130368
         207     2.95559     2.94882   0.0012978
         208     2.95556     2.94885  0.00129196
         209     2.95552     2.94888  0.00128618
         210     2.95545     2.94891  0.00128043
         211     2.95537     2.94894  0.00127473
         212     2.95527     2.94897  0.00126907
         213     2.95515       2.949  0.00126344
         214     2.95501     2.94903  0.00125785
         215     2.95485     2.94906  0.00125229
         216     2.95466     2.94908  0.00124676
         217     2.95445     2.94911  0.00124126
         218     2.95422     2.94913  0.00123579
         219     2.95396     2.94915  0.00123034
         220     2.95369     2.94917  0.00122492
         221     2.95338     2.94919  0.00121953
         222     2.95305     2.94921  0.00121416
         223      2.9527     2.94923  0.00120881
         224     2.95232     2.94924   0.0012035
         225     2.95192     2.94925  0.00119821
         226     2.95149     2.94926  0.00119294
         227     2.95104     2.94927  0.00118771
         228     2.95056     2.94928  0.00118252
         229     2.95006     2.94928  0.00117736
         230     2.94953     2.94928  0.00117224
         231     2.94898     2.94928  0.00116717
         232      2.9484     2.94927  0.00116214
         233      2.9478     2.94927  0.00115717
         234     2.94718     2.94926  0.00115226
         235     2.94654     2.94925  0.00114742
         236     2.94587     2.94923  0.00114264
         237     2.94518     2.94922  0.00113795
         238     2.94448      2.9492  0.00113334
         239     2.94375     2.94917  0.00112883
         240       2.943     2.94915  0.00112442
         241     2.94224     2.94912  0.00112012
         242     2.94146     2.94909  0.00111594
         243     2.94066     2.94905  0.00111189
         244     2.93985     2.94902  0.00110797
         245     2.93903     2.94897   0.0011042
         246     2.93819     2.94893  0.00110058
         247     2.93735     2.94888  0.00109712
         248     2.93649     2.94883  0.00109383
         249     2.93563     2.94878  0.00109072
         250     2.93476     2.94872   0.0010878
         251     2.93388     2.94867  0.00108507
         252     2.93301      2.9486  0.00108255
         253     2.93213     2.94854  0.00108023
         254     2.93125     2.94847  0.00107812
         255     2.93037      2.9484  0.00107622
         256     2.92949     2.94833  0.00107455
         257     2.92862     2.94825   0.0010731
         258     2.92776     2.94817  0.00107188
         259      2.9269     2.94809  0.00107088
         260     2.92605       2.948  0.00107011
         261     2.92522     2.94792  0.00106957
         262     2.92439     2.94783  0.00106924
         263     2.92358     2.94773  0.00106914
         264     2.92279     2.94764  0.00106926
         265     2.92202     2.94754  0.00106959
         266     2.92126     2.94744  0.00107012
         267     2.92053     2.94734  0.00107085
         268     2.91981     2.94724  0.00107177
         269     2.91913     2.94714  0.00107287
         270     2.91846     2.94703  0.00107414
         271     2.91783     2.94692  0.00107557
         272     2.91722     2.94681  0.00107714
         273     2.91665      2.9467  0.00107885
         274      2.9161     2.94659  0.00108068
         275     2.91559     2.94648  0.00108261
         276     2.91511     2.94636  0.00108464
         277     2.91467     2.94625  0.00108674
         278     2.91426     2.94613  0.00108891
         279     2.91389     2.94602  0.00109112
         280     2.91355      2.9459  0.00109337
         281     2.91326     2.94579  0.00109563
         282       2.913     2.94567   0.0010979
         283     2.91279     2.94555  0.00110015
         284     2.91261     2.94544  0.00110238
         285     2.91248     2.94532  0.00110456
         286     2.91238     2.94521  0.00110668
         287     2.91233     2.94509  0.00110874
         288     2.91232     2.94498  0.00111072
         289     2.91235     2.94487   0.0011126
         290     2.91242     2.94475  0.00111437
         291     2.91253     2.94464  0.00111603
         292     2.91268     2.94453  0.00111757
         293     2.91287     2.94443  0.00111896
         294      2.9131     2.94432  0.00112022
         295     2.91336     2.94421  0.00112133
         296     2.91367     2.94411  0.00112228
         297     2.91401     2.94401  0.00112307
         298     2.91438     2.94391  0.00112369
         299     2.91479     2.94381  0.00112415
         300     2.91522     2.94372  0.00112443
         301     2.91569     2.94362  0.00112454
         302     2.91619     2.94353  0.00112448
         303     2.91671     2.94344  0.00112425
         304     2.91726     2.94336  0.00112385
         305     2.91784     2.94328  0.00112327
         306     2.91843     2.94319  0.00112253
         307     2.91905     2.94312  0.00112163
         308     2.91968     2.94304  0.00112057
         309     2.92033     2.94297  0.00111935
         310     2.92099     2.94289  0.00111798
         311     2.92167     2.94283  0.00111646
         312     2.92236     2.94276  0.00111481
         313     2.92306      2.9427  0.00111302
         314     2.92377     2.94264  0.00111111
         315     2.92448     2.94258  0.00110908
         316      2.9252     2.94253  0.00110693
         317     2.92592     2.94247  0.00110468
         318     2.92665     2.94242  0.00110232
         319     2.92737     2.94238  0.00109988
         320     2.92809     2.94233  0.00109734
         321     2.92882     2.94229  0.00109473
         322     2.92953     2.94225  0.00109205
         323     2.93025     2.94221   0.0010893
         324     2.93095     2.94218  0.00108649
         325     2.93165     2.94215  0.00108363
         326     2.93235     2.94212  0.00108072
         327     2.93303     2.94209  0.00107778
         328     2.93371     2.94206  0.00107479
         329     2.93438     2.94204  0.00107178
         330     2.93503     2.94202  0.00106874
         331     2.93568       2.942  0.00106569
         332     2.93631     2.94198  0.00106261
         333     2.93693     2.94197  0.00105953
         334     2.93754     2.94195  0.00105644
         335     2.93814     2.94194  0.00105335
         336     2.93872     2.94193  0.00105026
         337     2.93929     2.94192  0.00104717
         338     2.93984     2.94192  0.00104409
         339     2.94039     2.94191  0.00104102
         340     2.94092     2.94191  0.00103796
         341     2.94143     2.94191  0.00103492
         342     2.94193     2.94191  0.00103189
         343     2.94242     2.94191  0.00102889
         344     2.94289     2.94191   0.0010259
         345     2.94335     2.94192  0.00102293
         346      2.9438     2.94192  0.00101999
         347     2.94423     2.94193  0.00101707
         348     2.94465     2.94194  0.00101418
         349     2.94506     2.94195  0.00101132
         350     2.94545     2.94196  0.00100848
         351     2.94583     2.94197  0.00100566
         352      2.9462     2.94198  0.00100288
         353     2.94655     2.94199  0.00100012
         354      2.9469     2.94201 0.000997391
         355     2.94723     2.94202  0.00099469
         356     2.94754     2.94204 0.000992017
         357     2.94785     2.94205 0.000989372
         358     2.94815     2.94207 0.000986755
         359     2.94843     2.94209 0.000984165
         360      2.9487     2.94211 0.000981603
         361     2.94897     2.94212 0.000979068
         362     2.94922     2.94214 0.000976559
         363     2.94946     2.94216 0.000974077
         364     2.94969     2.94219  0.00097162
         365     2.94992     2.94221 0.000969189
         366     2.95013     2.94223 0.000966783
         367     2.95033     2.94225 0.000964401
         368     2.95053     2.94227 0.000962043
         369     2.95072      2.9423 0.000959708
         370      2.9509     2.94232 0.000957395
         371     2.95107     2.94234 0.000955105
         372     2.95123     2.94237 0.000952837
         373     2.95139     2.94239 0.000950589
