#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.96258      1.9653  0.00105839
         169      1.9632     1.96529   0.0010522
         170     1.96378     1.96528  0.00104604
         171     1.96431     1.96528  0.00103994
         172      1.9648     1.96527   0.0010339
         173     1.96525     1.96527  0.00102792
         174     1.96567     1.96527  0.00102202
         175     1.96606     1.96528  0.00101619
         176     1.96641     1.96529  0.00101043
         177     1.96674     1.96529  0.00100476
         178     1.96704      1.9653 0.000999162
         179     1.96732     1.96531 0.000993644
         180     1.96757     1.96533 0.000988203
         181     1.96781     1.96534 0.000982839
         182     1.96803     1.96536  0.00097755
         183     1.96824     1.96537 0.000972334
         184     1.96843     1.96539 0.000967192
         185      1.9686     1.96541  0.00096212
         186     1.96877     1.96542 0.000957117
         187     1.96892     1.96544 0.000952182
         188     1.96907     1.96546 0.000947313
         189     1.96921     1.96548 0.000942508
         190     1.96934      1.9655 0.000937766
         191     1.96946     1.96552 0.000933084
         192     1.96957     1.96554 0.000928463
         193     1.96968     1.96557 0.000923899
         194     1.96978     1.96559 0.000919392
         195     1.96987     1.96561 0.000914939
         196     1.96996     1.96563  0.00091054
         197     1.97004     1.96565 0.000906193
         198     1.97011     1.96568 0.000901896
         199     1.97018      1.9657 0.000897647
         200     1.97023     1.96572 0.000893445
         201     1.97028     1.96574 0.000889288
         202     1.97032     1.96577 0.000885175
         203     1.97036     1.96579 0.000881103
         204     1.97038     1.96581 0.000877072
         205     1.97039     1.96583 0.000873078
         206      1.9704     1.96586 0.000869121
         207     1.97039     1.96588 0.000865199
         208     1.97037      1.9659 0.000861309
         209     1.97034     1.96592  0.00085745
         210      1.9703     1.96594 0.000853621
         211     1.97025     1.96596  0.00084982
         212     1.97018     1.96598 0.000846044
         213      1.9701       1.966 0.000842293
         214     1.97001     1.96602 0.000838565
         215      1.9699     1.96604 0.000834858
         216     1.96977     1.96606 0.000831172
         217     1.96963     1.96607 0.000827506
         218     1.96948     1.96609 0.000823857
         219     1.96931      1.9661 0.000820227
         220     1.96912     1.96612 0.000816614
