,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
0,-1.0,-1.0,-1.0,3.6835513,2.5634227,2.2963912
1,-0.9797979797979798,-0.9797979797979798,-0.9797979797979798,3.712337,2.6504192,2.4187088
2,-0.9595959595959596,-0.9595959595959596,-0.9595959595959596,3.7411227,2.7509878,2.5408592
3,-0.9393939393939394,-0.9393939393939394,-0.9393939393939394,3.769908,2.8515573,2.6630096
4,-0.9191919191919192,-0.9191919191919192,-0.9191919191919192,3.7986937,2.952126,2.78516
5,-0.898989898989899,-0.898989898989899,-0.898989898989899,3.8274794,3.0526948,2.9073102
6,-0.8787878787878788,-0.8787878787878788,-0.8787878787878788,3.8562646,3.1532636,3.029461
7,-0.8585858585858586,-0.8585858585858586,-0.8585858585858586,3.8850503,3.2538326,3.1516118
8,-0.8383838383838383,-0.8383838383838383,-0.8383838383838383,3.913836,3.3544009,3.2737617
9,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,3.9426212,3.4549701,3.3959124
10,-0.797979797979798,-0.797979797979798,-0.797979797979798,3.971407,3.5555384,3.518063
11,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,4.000192,3.6561074,3.6402125
12,-0.7575757575757576,-0.7575757575757576,-0.7575757575757576,4.028978,3.7566767,3.762364
13,-0.7373737373737373,-0.7373737373737373,-0.7373737373737373,4.0577636,3.8572457,3.8820305
14,-0.7171717171717171,-0.7171717171717171,-0.7171717171717171,4.0865493,3.957814,3.9951591
15,-0.696969696969697,-0.696969696969697,-0.696969696969697,4.115335,4.0583835,4.0944586
16,-0.6767676767676767,-0.6767676767676767,-0.6767676767676767,4.14412,4.158952,4.1937585
17,-0.6565656565656566,-0.6565656565656566,-0.6565656565656566,4.1729054,4.259198,4.286175
18,-0.6363636363636364,-0.6363636363636364,-0.6363636363636364,4.201691,4.3586025,4.344875
19,-0.6161616161616161,-0.6161616161616161,-0.6161616161616161,4.230477,4.4415064,4.400633
20,-0.5959595959595959,-0.5959595959595959,-0.5959595959595959,4.2592626,4.5164375,4.4563904
21,-0.5757575757575757,-0.5757575757575757,-0.5757575757575757,4.288048,4.559533,4.5121484
22,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,4.3168335,4.596103,4.5679064
23,-0.5353535353535352,-0.5353535353535352,-0.5353535353535352,4.3456187,4.6326737,4.6087613
24,-0.5151515151515151,-0.5151515151515151,-0.5151515151515151,4.3744044,4.6692443,4.6338243
25,-0.4949494949494949,-0.4949494949494949,-0.4949494949494949,4.40319,4.705815,4.6588874
26,-0.4747474747474747,-0.4747474747474747,-0.4747474747474747,4.4319754,4.739637,4.6839504
