0,44.9234,49.0826,49.7795,49.919,50.1726,50.5857,50.8357,51.1336,51.483,51.7691,51.7691,51.8238,52.143,52.3504,52.4619,52.5013,53.163,53.714,53.7486,54.0409,54.1549,54.2926,54.5283,54.5283,54.6218,55.3354,55.5656,55.5694,55.5915,55.6479,55.7481,55.9628,55.9747,56.1209,56.5216,56.5216,56.5477,56.5587,56.8285,56.9524,57.0439,57.1051,57.5369,57.785,57.785,57.8165,57.8165,57.8165,57.8718,57.8749
1,43.2259,43.6755,44.078,44.3757,44.9234,45.0008,45.992,46.7104,47.0063,47.1946,47.4543,47.5166,47.6752,47.8006,48.3291,48.4806,49.3331,49.5651,49.7795,49.7795,49.7795,49.8195,49.919,49.919,49.919,50.0186,50.0854,50.1726,50.1726,50.1726,50.1726,50.1726,50.3647,50.5857,50.5857,50.5857,50.652,50.8357,50.8357,50.8543,50.8984,51.1336,51.1336,51.1336,51.1336,51.1929,51.2297,51.3275,51.3393,51.483
2,38.4408,39.8488,40.2334,41.7143,43.0106,43.6755,44.078,44.078,44.078,44.078,44.078,44.078,44.3757,44.3757,44.3757,44.3913,44.7192,44.8578,44.9234,44.9234,44.9234,45.0008,45.0008,45.0008,45.1928,45.4493,45.7883,45.8177,45.8656,45.992,45.992,45.992,46.3454,46.6128,46.6431,46.6809,46.711,46.8876,47.0063,47.1475,47.1827,47.1946,47.1946,47.2646,47.4045,47.4304,47.4543,47.4543,47.4543,47.4543
3,37.8147,38.4408,38.4408,38.4408,38.4408,38.4514,38.9457,39.0289,39.8488,39.8488,39.8488,39.8564,40.1065,40.2334,40.2334,40.2334,40.2334,40.2334,40.5603,41.531,42.0235,42.1609,42.6179,42.6221,43.0106,43.0106,43.0106,43.0106,43.0106,43.0106,43.1519,43.6755,43.6755,43.6798,43.7058,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078,44.078
4,35.3339,36.2812,36.36,37.1218,37.4466,37.655,37.8627,37.9234,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4514,38.4514,38.5368,38.6186,38.6778,38.9457,38.9457,38.9457,39.0289,39.0289,39.1556,39.6073,39.6816,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8488,39.8564,39.8564,39.8564,39.8564
5,33.5446,34.7004,35.0123,35.0914,35.3339,35.3627,35.8462,35.9429,36.1176,36.2812,36.2812,36.3356,36.36,36.936,36.9568,36.9709,37.1218,37.1414,37.2102,37.3761,37.4011,37.4466,37.4466,37.4466,37.4466,37.4466,37.4466,37.4954,37.655,37.8627,37.8627,37.8627,37.8627,37.9234,38.0041,38.0205,38.0417,38.2718,38.3617,38.4034,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408,38.4408
6,28.575,29.4107,33.0449,33.1456,33.7983,34.0517,34.5393,34.7004,34.7004,34.8083,34.8353,34.8585,35.0123,35.0914,35.0914,35.3286,35.3627,35.3627,35.3627,35.4977,35.6051,35.7127,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.8462,35.9429,35.9429,36.0286,36.1387,36.1981,36.2607,36.2812,36.2812,36.2812,36.3316,36.3559,36.5377,36.7737,36.7873,36.8559,37.1693,37.4787
7,28.575,28.575,28.575,29.4107,29.4107,31.0027,31.3274,31.643,31.8453,31.8515,32.0768,32.3831,32.4055,32.5295,32.5829,32.8141,33.0449,33.1456,33.1456,33.1456,33.1456,33.1456,33.1456,33.1456,33.3936,33.5755,34.0517,34.4095,34.4326,34.5393,34.5393,34.5393,34.7004,34.7004,34.7004,34.7004,34.7004,34.7004,34.7004,34.7004,34.7004,34.8083,34.8353,34.8353,34.8353,34.8353,34.8353,34.8353,34.8585,34.8643
8,26.7498,27.8612,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.7944,29.3,29.3747,29.4107,29.4107,29.4107,29.4107,29.4107,29.5033,29.5579,29.7467,29.9179,29.9544,30.0141,30.3968,30.5775,30.9248,30.9596,31.0027,31.3274,31.3274,31.3498,31.3735,31.5972,31.643,31.643,31.643,31.7307,31.8453,31.8453,31.8515,31.8515,31.8515,31.8515,31.8515,31.9132,31.9666,32.0768
9,25.9096,26.7498,26.7498,26.7498,26.7498,26.7498,28.5438,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575
10,25.8534,25.8534,25.9096,25.9096,25.9096,25.9096,26.5249,26.5609,26.5609,26.715,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7498,26.7792,26.9018,26.9134,26.9134,27.1601,27.3326,27.5474,27.5602,27.8593,28.0416,28.3178,28.5438,28.5438,28.5438,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575,28.575
11,25.5775,25.6338,25.69,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.854,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9096,25.9391,25.9976,26.0423,26.0538,26.2693,26.31,26.3173,26.5249,26.5249,26.5249,26.5249,26.5609,26.5609,26.5609,26.5609,26.5609,26.5609,26.6693,26.715,26.715,26.715,26.715,26.7206
12,25.3225,25.5775,25.5775,25.5775,25.5775,25.6338,25.6338,25.6338,25.6338,25.6338,25.69,25.69,25.69,25.69,25.69,25.8108,25.8111,25.8129,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,25.8534,26.1417,26.4485,26.662
13,23.693,25.3225,25.3225,25.3225,25.3225,25.3516,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338
14,23.693,23.693,23.693,23.693,23.693,23.693,23.693,24.4732,24.7671,24.9554,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3225,25.3516,25.3516,25.3516,25.3516,25.3659,25.4562,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775,25.5775
