#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.45839    -5.45324  0.00132303
         153    -5.45446    -5.45324  0.00131441
         154    -5.44337    -5.45318  0.00130743
         155    -5.47901    -5.45335  0.00130958
         156    -5.45719    -5.45337  0.00130141
         157    -5.45263    -5.45337  0.00129313
         158    -5.45153    -5.45335    0.001285
         159    -5.47584     -5.4535  0.00128468
         160    -5.48477    -5.45369  0.00129144
         161    -5.47955    -5.45385  0.00129337
         162    -5.45656    -5.45387  0.00128549
         163     -5.4799    -5.45403  0.00128749
         164    -5.43043    -5.45388  0.00128766
         165    -5.46562    -5.45396  0.00128181
         166    -5.46557    -5.45403    0.001276
         167    -5.44719    -5.45398  0.00126901
         168    -5.43682    -5.45388  0.00126557
         169     -5.4223     -5.4537   0.0012718
         170    -5.43216    -5.45357  0.00127061
         171     -5.4096    -5.45331  0.00128894
         172    -5.46508    -5.45338  0.00128326
         173    -5.45239    -5.45337  0.00127586
         174    -5.43204    -5.45325   0.0012744
         175    -5.46089     -5.4533  0.00126786
         176    -5.45588    -5.45331  0.00126075
         177    -5.46646    -5.45338  0.00125581
         178    -5.46135    -5.45343  0.00124955
         179    -5.46533     -5.4535  0.00124434
         180    -5.45532    -5.45351  0.00123747
         181    -5.45701    -5.45353  0.00123078
         182    -5.44226    -5.45346  0.00122557
         183    -5.48388    -5.45363   0.0012301
         184    -5.45865    -5.45366  0.00122371
         185    -5.43448    -5.45355  0.00122148
         186      -5.456    -5.45357  0.00121499
         187    -5.45718    -5.45359  0.00120864
         188    -5.45539     -5.4536  0.00120225
         189     -5.4209    -5.45342  0.00120827
         190      -5.453    -5.45342  0.00120192
         191    -5.45249    -5.45342  0.00119563
         192    -5.46302    -5.45347  0.00119045
         193    -5.41101    -5.45325  0.00120444
         194    -5.44054    -5.45318  0.00120001
         195    -5.48722    -5.45335  0.00120649
         196    -5.46813    -5.45343  0.00120268
         197    -5.42617    -5.45329  0.00120451
         198    -5.46417    -5.45335  0.00119968
         199    -5.46129    -5.45339  0.00119432
         200    -5.47058    -5.45347  0.00119143
