#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.09655     1.09643 0.000891323
         148      1.0955     1.09642 0.000885323
         149     1.09884     1.09644 0.000879529
         150     1.10656     1.09651 0.000876249
         151     1.09941     1.09653 0.000870658
         152     1.09995     1.09655 0.000865221
         153     1.09649     1.09655 0.000859566
         154     1.09018     1.09651 0.000854978
         155     1.11332     1.09662 0.000856312
         156     1.09813     1.09663 0.000850878
         157     1.09633     1.09662  0.00084546
         158     1.09526     1.09662 0.000840153
         159     1.11163     1.09671 0.000840159
         160     1.11679     1.09684 0.000844229
         161     1.11403     1.09694 0.000845712
         162     1.09896     1.09695 0.000840583
         163     1.11397     1.09706 0.000841879
         164     1.08139     1.09696 0.000842148
         165     1.10489     1.09701 0.000838413
         166     1.10477     1.09706 0.000834664
         167     1.09194     1.09703 0.000830228
         168     1.08504     1.09696 0.000828348
         169     1.07523     1.09683 0.000833367
         170      1.0824     1.09674 0.000832772
         171     1.06775     1.09657  0.00084499
         172     1.10394     1.09662 0.000841162
         173     1.09517     1.09661 0.000836341
         174     1.08199     1.09652 0.000835743
         175     1.10169     1.09655 0.000831487
         176     1.09815     1.09656 0.000826812
         177     1.10516     1.09661 0.000823567
         178     1.10073     1.09663 0.000819266
         179     1.10468     1.09668 0.000815921
         180     1.09822     1.09669 0.000811433
         181     1.09868      1.0967 0.000807025
         182      1.0887     1.09665 0.000803787
         183     1.11621     1.09676 0.000806469
         184      1.1003     1.09678 0.000802316
         185     1.08399     1.09671 0.000800955
         186     1.09804     1.09672 0.000796681
         187     1.09945     1.09673 0.000792554
         188     1.09874     1.09674  0.00078841
         189     1.07589     1.09663 0.000791919
         190      1.0964     1.09663 0.000787752
         191     1.09662     1.09663 0.000783628
         192     1.10335     1.09667 0.000780328
         193     1.06878     1.09652  0.00078955
         194     1.08745     1.09648 0.000786863
         195     1.11842     1.09659 0.000790831
         196     1.10526     1.09663 0.000788033
         197     1.07917     1.09654    0.000789
         198     1.10371     1.09658 0.000785846
         199     1.10201     1.09661 0.000782371
         200     1.10812     1.09667 0.000780575
