loss_1layers,val_loss_1layers,loss_2layers,val_loss_2layers
10.920907020568848,10.656889915466309,11.851057052612305,11.198708534240723
10.22173023223877,9.926774978637695,10.501789093017578,9.813118934631348
9.45241641998291,9.168830871582031,9.018730163574219,8.2335844039917
8.666888236999512,8.41073989868164,7.261764049530029,6.400997161865234
7.879575252532959,7.644655227661133,5.357321739196777,4.497827529907227
7.079019546508789,6.874849319458008,3.54947566986084,2.9160284996032715
6.27703857421875,6.107757568359375,2.174517869949341,1.9569107294082642
5.4837164878845215,5.349570274353027,1.4426093101501465,1.6063275337219238
4.70808219909668,4.6313066482543945,1.1545151472091675,1.4526437520980835
3.990872621536255,3.961407423019409,1.0157647132873535,1.3275837898254395
3.335667610168457,3.367271423339844,0.9156678318977356,1.2119035720825195
2.76043701171875,2.858395576477051,0.8262664079666138,1.0915271043777466
2.279956817626953,2.42894983291626,0.7503979206085205,1.0038400888442993
1.882218718528748,2.0802838802337646,0.6862867474555969,0.9159510135650635
1.559455156326294,1.808549404144287,0.6245214343070984,0.8515728116035461
1.319258689880371,1.5952942371368408,0.5693488717079163,0.7856589555740356
1.1316980123519895,1.4308277368545532,0.5193651914596558,0.7307037115097046
0.9951987862586976,1.306454300880432,0.47471028566360474,0.6598198413848877
0.8930217623710632,1.2149704694747925,0.42910435795783997,0.613232433795929
0.8225457668304443,1.144190788269043,0.3867461085319519,0.5573089122772217
0.772567868232727,1.0919796228408811,0.35052868723869324,0.49986639618873596
0.7344185709953308,1.0488488674163818,0.3114500939846039,0.4590643644332886
0.7061240673065186,1.0113577842712402,0.2763789892196655,0.40584442019462585
0.6835383772850037,0.9857160449028016,0.2456909567117691,0.35931670665740967
0.6637897491455078,0.9591026902198792,0.21766258776187897,0.3222154378890991
0.646047830581665,0.9343324899673462,0.19282524287700653,0.2854558527469635
0.6296219825744629,0.910437822341919,0.1721203625202179,0.25030961632728577
0.6145181059837341,0.8892456293106079,0.15361806750297546,0.22051602602005005
0.6000145673751831,0.8687021732330322,0.13674119114875793,0.19458171725273132
0.5875878930091858,0.8483158946037292,0.1227506548166275,0.17285913228988647
0.5745660066604614,0.8373985886573792,0.10932648926973343,0.1512174755334854
0.563693106174469,0.8224689960479736,0.0983269214630127,0.13251478970050812
0.5544500946998596,0.8041360974311829,0.08869744837284088,0.11954675614833832
0.5454385876655579,0.7903128862380981,0.079464390873909,0.1031365767121315
0.5365428924560547,0.7824298143386841,0.07156672328710556,0.0937442034482956
0.5294709205627441,0.7727414965629578,0.06439477205276489,0.08193128556013107
0.5221660733222961,0.7593958973884583,0.05764726176857948,0.07875508069992065
0.5151346325874329,0.7521812319755554,0.05255071073770523,0.0674826130270958
0.5076058506965637,0.7370360493659973,0.04766757786273956,0.06130550801753998
0.5005093812942505,0.7284150719642639,0.04319922998547554,0.056492775678634644
0.4927158653736114,0.7182613611221313,0.040335267782211304,0.05222184583544731
0.4855601787567138,0.7084336280822754,0.037820979952812195,0.04882320761680603
0.4777187705039978,0.6990621089935303,0.0357389897108078,0.045957088470458984
0.4704767167568207,0.6892895698547363,0.033541008830070496,0.04122383892536163
0.4633459150791168,0.6754260063171387,0.031770601868629456,0.03930562362074852
0.4546116888523102,0.6697019934654236,0.030281774699687958,0.03671777993440628
0.4469367861747741,0.6595684885978699,0.02882576175034046,0.03613116964697838
0.4387904107570648,0.648641049861908,0.028033820912241936,0.03344719111919403
0.4306617379188537,0.6324509978294373,0.027194606140255928,0.032282985746860504
0.422143280506134,0.6208099126815796,0.025950545445084572,0.030628621578216553
0.414098173379898,0.6131287217140198,0.024772368371486664,0.02934483252465725
0.4056811332702636,0.6004731059074402,0.024266522377729416,0.029623709619045258
0.3970051407814026,0.5878211855888367,0.02378682792186737,0.028091968968510628
0.3879843354225158,0.57831871509552,0.022983169183135033,0.026288041844964027
0.3788988292217254,0.564242422580719,0.02171960659325123,0.026898274198174477
0.3698519170284271,0.5513078570365906,0.021677879616618156,0.026203952729701996
0.3616211414337158,0.5405866503715515,0.02081509865820408,0.02379421517252922
0.3531260192394256,0.5237566828727722,0.02039947174489498,0.02411550283432007
0.3431499302387237,0.5150898098945618,0.020365403965115547,0.022217681631445885
0.3343348503112793,0.5029059648513794,0.01930655725300312,0.02214522659778595
0.324942946434021,0.4860503375530243,0.01889517717063427,0.021033115684986115
0.3158658742904663,0.4722247719764709,0.01848958618938923,0.020994756370782852
0.3079345226287842,0.4545820355415344,0.018409643322229385,0.0214054137468338
0.2978920340538025,0.4448428750038147,0.017581477761268616,0.020405886694788933
0.2887915372848511,0.4348199069499969,0.01759563945233822,0.019248491153120995
0.2804258465766907,0.4197002649307251,0.017137279734015465,0.020094729959964752
0.2715401649475097,0.4063916504383087,0.017200635746121407,0.019768010824918747
0.2632153332233429,0.3933796286582947,0.016527483239769936,0.02017313428223133
0.2548377513885498,0.3781151473522186,0.016281483694911003,0.01873972825706005
0.2468898892402649,0.3647380173206329,0.01597551256418228,0.01845075935125351
0.2392904013395309,0.352995902299881,0.015602026134729385,0.017078068107366562
0.2317447215318679,0.3422259390354156,0.015487924218177795,0.017419293522834778
0.2242379635572433,0.3288870751857757,0.015042996034026146,0.01684556156396866
0.2171511054039001,0.3197348713874817,0.015128477476537228,0.016565220430493355
0.2104753106832504,0.3080350756645202,0.015209545381367207,0.017547953873872757
0.203612819314003,0.2984026074409485,0.014576687477529049,0.016821423545479774
0.1976846009492874,0.2840931117534637,0.014763958752155304,0.015843326225876808
0.1917534619569778,0.2773397862911224,0.014425464905798435,0.016058437526226044
0.1855649799108505,0.264717698097229,0.014209860004484653,0.01597018539905548
0.1798688024282455,0.2548953890800476,0.014185224659740925,0.014833943918347359
0.1742327809333801,0.2481055855751037,0.014159683138132095,0.015574673190712929
0.1691367328166961,0.2384856343269348,0.013897297903895378,0.016186052933335304
0.164204403758049,0.2307699173688888,0.013982008211314678,0.014719116501510143
0.1605923175811767,0.2249284386634826,0.013841329142451286,0.014097929000854492
0.1548733413219452,0.2130904048681259,0.013669325038790703,0.01518405880779028
0.1507856100797653,0.2053362727165222,0.013584468513727188,0.014481528662145138
0.1468205899000167,0.2001774460077285,0.013533420860767365,0.015645911917090416
0.1426135897636413,0.1915758103132248,0.013622470200061798,0.014320991933345795
0.1386710852384567,0.1882105469703674,0.013345543295145035,0.015106571838259697
0.1354994028806686,0.1774135828018188,0.013216400519013405,0.014412100426852703
0.1309485882520675,0.1757640689611435,0.013187856413424015,0.013947424478828907
0.1274408102035522,0.1696735024452209,0.012875374406576157,0.014572429470717907
0.124162420630455,0.1617849320173263,0.012906760908663273,0.013099350035190582
0.1210024133324623,0.1545903235673904,0.01279096957296133,0.013552323915064335
0.1175290197134018,0.1518640220165252,0.01267788466066122,0.013793290592730045
0.1147069036960601,0.1476955264806747,0.012513202615082264,0.014590902253985405
0.1116100251674652,0.1434556245803833,0.012776226736605167,0.012948594987392426
0.1088130250573158,0.1387670934200287,0.012641319073736668,0.012526966631412506
0.1061148792505264,0.134844422340393,0.012580953538417816,0.013434145599603653
0.1037996932864189,0.1316258609294891,0.012712237425148487,0.014679737389087677
