# best solutions
1, 31, 24, 20, 4, 2, 34, 6, 19, 27, 17, 26, 22, 7, 23, 18, 9, 11, 28, 13, 3, 30, 8, 16, 29, 14, 5, 10, 12, 15, 21, 25, 33, 32, 1,8.09376
1, 7, 4, 23, 20, 22, 32, 2, 29, 25, 12, 16, 10, 9, 33, 30, 18, 26, 24, 15, 14, 34, 21, 11, 8, 19, 17, 3, 28, 27, 5, 13, 6, 31, 1,6.82423
1, 7, 4, 23, 20, 22, 32, 2, 29, 25, 12, 16, 10, 9, 33, 30, 18, 26, 24, 15, 14, 34, 21, 11, 8, 19, 17, 3, 28, 27, 5, 13, 6, 31, 1,6.82423
1, 31, 24, 20, 4, 7, 22, 23, 18, 9, 34, 11, 26, 28, 13, 17, 19, 8, 21, 32, 2, 16, 14, 12, 30, 33, 29, 25, 6, 3, 27, 5, 10, 15, 1,6.13792
1, 31, 24, 20, 4, 7, 22, 23, 32, 2, 18, 9, 34, 21, 8, 19, 17, 13, 28, 26, 11, 16, 14, 12, 30, 33, 29, 25, 6, 3, 27, 5, 10, 15, 1,6.11344
1, 31, 24, 20, 4, 7, 22, 23, 18, 9, 34, 11, 10, 5, 27, 3, 6, 25, 29, 33, 30, 12, 14, 16, 2, 32, 21, 8, 19, 17, 13, 28, 26, 15, 1,5.99055
1, 31, 24, 11, 26, 28, 13, 17, 19, 8, 34, 20, 4, 7, 22, 23, 18, 9, 21, 32, 2, 16, 14, 12, 30, 33, 29, 25, 6, 3, 27, 5, 10, 15, 1,5.29347
1, 31, 24, 16, 5, 27, 3, 6, 25, 29, 33, 30, 12, 14, 10, 11, 26, 28, 13, 17, 19, 8, 21, 34, 9, 18, 23, 32, 2, 22, 7, 4, 20, 15, 1,5.19111
1, 28, 13, 17, 19, 8, 21, 34, 9, 18, 31, 24, 16, 5, 27, 3, 6, 25, 29, 33, 30, 23, 32, 2, 22, 7, 4, 20, 15, 12, 14, 10, 11, 26, 1,4.92429
1, 31, 24, 11, 26, 28, 13, 17, 19, 8, 34, 21, 9, 18, 16, 5, 27, 3, 6, 25, 29, 33, 30, 23, 32, 2, 22, 7, 4, 20, 15, 12, 14, 10, 1,4.74403
1, 28, 13, 17, 19, 8, 24, 34, 9, 18, 31, 21, 16, 5, 27, 3, 6, 25, 29, 33, 30, 23, 32, 2, 22, 7, 4, 20, 15, 12, 14, 10, 11, 26, 1,4.62312
1, 31, 24, 11, 25, 29, 33, 30, 23, 32, 2, 22, 7, 4, 20, 18, 9, 34, 21, 14, 16, 5, 27, 3, 6, 8, 19, 17, 13, 28, 26, 10, 12, 15, 1,4.27591
1, 31, 12, 15, 2, 32, 23, 30, 33, 25, 6, 3, 29, 27, 5, 16, 18, 9, 21, 22, 7, 4, 20, 34, 8, 24, 11, 26, 28, 13, 17, 19, 14, 10, 1,4.00034
