throws,avg
0, 0
1, 1
2, 1
3, 2
4, 2
5, 2
6, 2
7, 3
8, 3
9, 3
10, 3
11, 3
12, 3
13, 3
14, 3
15, 3
16, 4
17, 4
18, 4
19, 4
20, 5
21, 5
22, 5
23, 6
24, 7
25, 7
26, 7
27, 7
28, 7
29, 7
30, 8
31, 8
32, 8
33, 9
34, 10
35, 10
36, 10
37, 11
38, 12
39, 12
40, 12
41, 12
42, 12
43, 12
44, 13
45, 14
46, 14
47, 14
48, 14
49, 15
50, 15
51, 16
52, 16
53, 17
54, 17
55, 17
56, 17
57, 17
58, 18
59, 18
60, 19
61, 19
62, 20
63, 21
64, 21
65, 21
66, 21
67, 21
68, 21
69, 21
70, 21
71, 21
72, 22
73, 22
74, 22
75, 22
76, 22
77, 23
78, 23
79, 24
80, 24
81, 24
82, 24
83, 24
84, 25
85, 25
86, 25
87, 26
88, 26
89, 26
90, 26
91, 26
92, 27
93, 27
94, 28
95, 29
96, 29
97, 29
98, 29
99, 29
100, 29
101, 29
102, 30
103, 30
104, 30
105, 30
106, 30
107, 30
108, 31
109, 31
110, 31
111, 32
112, 32
113, 33
114, 34
115, 34
116, 34
117, 34
118, 34
119, 34
120, 35
121, 35
122, 35
123, 35
124, 36
125, 36
126, 37
127, 37
128, 38
129, 38
130, 38
131, 38
132, 38
133, 39
134, 39
135, 39
136, 39
137, 39
138, 39
139, 39
140, 39
141, 39
142, 40
143, 40
144, 40
145, 41
146, 41
147, 41
148, 41
149, 41
150, 41
151, 41
152, 41
153, 42
154, 43
155, 44
156, 44
157, 44
158, 44
159, 45
160, 45
161, 45
162, 45
163, 45
164, 45
165, 45
166, 45
167, 45
168, 45
169, 45
170, 45
171, 45
172, 46
173, 46
174, 46
175, 46
176, 46
177, 46
178, 46
179, 46
180, 47
181, 48
182, 48
183, 48
184, 48
185, 48
186, 48
187, 48
188, 48
189, 48
190, 48
191, 48
192, 48
193, 48
194, 48
195, 48
196, 48
197, 48
198, 48
199, 48
200, 48
201, 48
202, 48
203, 48
204, 48
205, 48
206, 48
207, 48
208, 48
209, 48
210, 48
211, 48
212, 48
213, 48
214, 48
215, 48
216, 48
217, 48
218, 48
219, 48
220, 48
221, 48
222, 48
223, 48
224, 48
225, 48
226, 48
227, 48
228, 48
229, 48
230, 48
231, 48
232, 49
233, 50
234, 50
235, 50
236, 50
237, 51
238, 52
239, 52
240, 53
241, 53
242, 54
243, 54
244, 54
245, 55
246, 55
247, 55
248, 55
249, 55
250, 55
251, 55
252, 55
253, 55
254, 56
255, 57
256, 57
257, 58
258, 58
259, 58
260, 58
261, 58
262, 58
263, 58
264, 58
265, 58
266, 58
267, 58
268, 58
269, 58
270, 58
271, 59
272, 59
273, 59
274, 59
275, 59
276, 59
277, 59
278, 59
279, 59
280, 59
281, 59
282, 59
283, 59
284, 59
285, 59
286, 60
287, 60
288, 61
289, 61
290, 61
291, 61
292, 62
293, 62
294, 62
295, 62
296, 63
297, 63
298, 63
299, 64
300, 64
301, 64
302, 65
303, 66
304, 66
305, 67
306, 68
307, 68
308, 68
309, 68
310, 68
311, 69
312, 69
313, 69
314, 69
315, 69
316, 70
317, 70
318, 70
319, 70
320, 70
321, 71
322, 71
323, 71
324, 71
325, 71
326, 72
327, 72
328, 73
329, 73
330, 74
331, 74
332, 74
333, 75
334, 75
335, 76
336, 76
337, 76
338, 76
339, 76
340, 76
341, 76
342, 76
343, 77
344, 77
345, 77
346, 78
347, 79
348, 80
349, 80
350, 80
351, 80
352, 80
353, 80
354, 80
355, 80
356, 80
357, 80
358, 80
359, 80
360, 80
361, 81
362, 81
363, 82
364, 83
365, 84
366, 84
367, 84
368, 84
369, 84
370, 84
371, 84
372, 84
373, 85
374, 85
375, 85
376, 85
377, 86
378, 86
379, 86
380, 86
381, 86
382, 86
383, 86
384, 86
385, 86
386, 86
387, 86
388, 86
389, 87
390, 87
391, 87
392, 88
393, 88
394, 88
395, 88
396, 88
397, 88
398, 88
399, 88
400, 88
401, 88
402, 88
403, 88
404, 88
405, 88
406, 88
407, 88
408, 89
409, 89
410, 90
411, 90
412, 90
413, 90
414, 90
415, 90
416, 90
417, 91
418, 91
419, 91
420, 91
421, 91
422, 91
423, 91
424, 91
425, 91
426, 91
427, 91
428, 92
429, 92
430, 92
431, 92
432, 92
433, 92
434, 93
435, 93
436, 93
437, 93
438, 93
439, 93
440, 93
441, 93
442, 94
443, 94
444, 94
445, 94
446, 94
447, 94
448, 95
449, 96
450, 97
451, 97
452, 98
453, 98
454, 98
455, 98
456, 98
457, 99
458, 99
459, 99
460, 99
461, 99
462, 100
463, 101
464, 102
465, 102
466, 103
467, 103
468, 104
469, 104
470, 104
471, 104
472, 104
473, 104
474, 104
475, 104
476, 104
477, 104
478, 104
479, 104
480, 105
481, 105
482, 105
483, 106
484, 107
485, 108
486, 109
487, 109
488, 109
489, 110
490, 111
491, 112
492, 113
493, 113
494, 113
495, 113
496, 113
497, 113
498, 113
499, 113
500, 113
501, 113
502, 113
503, 113
504, 113
505, 114
506, 115
507, 116
508, 116
509, 116
510, 116
511, 116
512, 116
513, 116
514, 116
515, 116
516, 116
517, 116
518, 116
519, 116
520, 116
521, 116
522, 117
523, 117
524, 117
525, 117
526, 117
527, 117
528, 118
529, 119
530, 120
531, 120
532, 120
533, 121
534, 121
535, 121
536, 121
537, 122
538, 123
539, 123
540, 123
541, 123
542, 123
543, 124
544, 124
545, 124
546, 124
547, 124
548, 124
549, 124
550, 124
551, 124
552, 124
553, 124
554, 124
555, 125
556, 125
557, 125
558, 126
559, 126
560, 127
561, 127
562, 127
563, 127
564, 127
565, 127
566, 127
567, 127
568, 127
569, 127
570, 127
571, 127
572, 128
573, 129
574, 129
575, 129
576, 129
577, 130
578, 130
579, 130
580, 131
581, 131
582, 132
583, 132
584, 133
585, 134
586, 134
587, 134
588, 134
589, 134
590, 134
591, 135
592, 136
593, 136
594, 136
595, 137
596, 137
597, 138
598, 139
599, 139
600, 139
601, 139
602, 139
603, 139
604, 139
605, 140
606, 140
607, 140
608, 140
609, 141
610, 141
611, 142
612, 142
613, 142
614, 142
615, 142
616, 142
617, 143
618, 144
619, 144
620, 144
621, 145
622, 145
623, 146
624, 146
625, 146
626, 146
627, 146
628, 147
629, 147
630, 148
631, 148
632, 148
633, 148
634, 148
635, 148
636, 149
637, 150
638, 150
639, 151
640, 151
641, 151
642, 151
643, 151
644, 151
645, 151
646, 151
647, 151
648, 152
649, 152
650, 152
651, 152
652, 152
653, 152
654, 152
655, 153
656, 153
657, 154
658, 154
659, 155
660, 155
661, 155
662, 156
663, 156
664, 156
665, 156
666, 156
667, 156
668, 157
669, 157
670, 158
671, 158
672, 159
673, 159
674, 159
675, 160
676, 160
677, 160
678, 160
679, 161
680, 161
681, 161
682, 162
683, 162
684, 162
685, 163
686, 163
687, 163
688, 164
689, 164
690, 164
691, 164
692, 164
693, 165
694, 165
695, 165
696, 165
697, 165
698, 165
699, 165
700, 165
701, 165
702, 165
703, 165
704, 165
705, 165
706, 166
707, 166
708, 166
709, 167
710, 167
711, 167
712, 167
713, 167
714, 167
715, 168
716, 168
717, 168
718, 168
719, 168
720, 168
721, 168
722, 168
723, 168
724, 169
725, 169
726, 169
727, 170
728, 171
729, 172
730, 173
731, 173
732, 174
733, 175
734, 175
735, 176
736, 177
737, 177
738, 177
739, 178
740, 179
741, 179
742, 179
743, 179
744, 179
745, 180
746, 180
747, 181
748, 181
749, 181
750, 181
751, 181
752, 181
753, 181
754, 181
755, 181
756, 182
757, 182
758, 183
759, 183
760, 183
761, 183
762, 184
763, 184
764, 184
765, 184
766, 184
767, 184
768, 184
769, 184
770, 184
771, 184
772, 184
773, 184
774, 184
775, 184
776, 184
777, 184
778, 184
779, 184
780, 184
781, 184
782, 184
783, 184
784, 184
785, 184
786, 184
787, 185
788, 185
789, 185
790, 185
791, 185
792, 185
793, 185
794, 185
795, 186
796, 186
797, 187
798, 187
799, 187
800, 187
801, 187
802, 187
803, 187
804, 187
805, 187
806, 187
807, 187
808, 188
809, 188
810, 189
811, 190
812, 190
813, 190
814, 190
815, 190
816, 190
817, 190
818, 191
819, 192
820, 192
821, 192
822, 193
823, 193
824, 193
825, 193
826, 193
827, 193
828, 193
829, 193
830, 194
831, 195
832, 195
833, 195
834, 196
835, 196
836, 197
837, 198
838, 199
839, 199
840, 199
841, 199
842, 199
843, 199
844, 199
845, 200
846, 200
847, 200
848, 201
849, 201
850, 201
851, 201
852, 201
853, 201
854, 201
855, 201
856, 201
857, 202
858, 202
859, 203
860, 203
