#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.785526    0.785526           0
           2    0.778603    0.782064  0.00244764
           3    0.773548    0.779226  0.00283461
           4    0.786293    0.780993  0.00261939
           5    0.786766    0.782147  0.00233619
           6    0.791673    0.783735  0.00242701
           7    0.771756    0.782023  0.00261494
           8    0.779413    0.781697  0.00230833
           9    0.793264    0.782982   0.0023829
          10    0.794092    0.784093  0.00238959
          11    0.775559    0.783317  0.00229487
          12    0.781025    0.783126  0.00211156
          13    0.762716    0.781556  0.00246467
          14    0.778607    0.781346  0.00229761
          15    0.788738    0.781839  0.00219665
          16    0.794446    0.782626  0.00219614
          17    0.785753     0.78281  0.00207464
          18     0.76975    0.782085  0.00208241
          19      0.7822    0.782091  0.00197282
          20    0.791324    0.782553  0.00192744
