#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.441721    0.441721           0
           2    0.455284    0.448502  0.00479548
           3    0.446612    0.447872  0.00323811
           4    0.447237    0.447714  0.00243247
           5    0.448895     0.44795  0.00195742
           6    0.455313    0.449177  0.00197884
           7     0.43086     0.44656  0.00295735
           8    0.421978    0.443488  0.00386754
           9     0.43454    0.442493   0.0035633
          10    0.420853    0.440329  0.00380782
          11    0.430277    0.439415  0.00356964
          12    0.432654    0.438852  0.00331634
          13    0.432298    0.438348  0.00309932
          14    0.452084    0.439329  0.00302925
          15    0.427963    0.438571  0.00292054
          16    0.428163    0.437921  0.00280952
          17     0.44465    0.438317    0.002672
          18    0.435259    0.438147  0.00252895
          19    0.432829    0.437867  0.00241128
          20    0.432986    0.437623  0.00230303
