#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.057916    0.057916           0
           2     0.06127    0.059593  0.00118582
           3    0.064876    0.061354  0.00164085
           4    0.059036   0.0607745  0.00132903
           5    0.059698   0.0605592  0.00108052
           6    0.059092   0.0603147 0.000927694
           7     0.05437   0.0594654  0.00111824
           8    0.057904   0.0592703  0.00099535
           9    0.060682   0.0594271  0.00089703
          10    0.054056     0.05889 0.000954681
          11    0.064232   0.0593756 0.000983687
          12    0.057404   0.0592113 0.000915331
          13     0.06225   0.0594451 0.000874257
          14    0.060016   0.0594859 0.000812761
          15    0.047686   0.0586992  0.00107378
          16    0.070384   0.0594295   0.0012302
          17    0.067026   0.0598764  0.00123633
          18     0.05978    0.059871  0.00116766
          19    0.067372   0.0602658  0.00117104
          20    0.055744   0.0600397  0.00113411
