#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.400896    0.400896           0
           2    0.385225    0.393061  0.00554051
           3    0.415267    0.400463  0.00708305
           4    0.388677    0.397516  0.00589333
           5    0.402213    0.398456  0.00478894
           6    0.405811    0.399682  0.00414474
           7    0.396535    0.399232  0.00357692
           8    0.397461    0.399011  0.00313665
           9    0.402263    0.399372  0.00280887
          10    0.394415    0.398876  0.00257135
          11     0.39796    0.398793  0.00233894
          12    0.393598     0.39836  0.00218372
          13    0.405157    0.398883  0.00207738
          14    0.400275    0.398982  0.00193137
          15    0.391077    0.398455  0.00187314
          16    0.403652     0.39878  0.00178401
          17    0.395739    0.398601  0.00168801
          18    0.387237     0.39797  0.00170822
          19    0.394862    0.397806  0.00162613
          20    0.396078     0.39772  0.00154712
