#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.650808    0.650808           0
           2    0.665912     0.65836  0.00534007
           3    0.622572    0.646431   0.0103705
           4     0.66726    0.651638  0.00899067
           5    0.723024    0.665915   0.0146562
           6    0.731614    0.676865   0.0157824
           7    0.703196    0.680627   0.0139688
           8    0.707972    0.684045    0.012634
           9    0.683016     0.68393   0.0112308
          10    0.619244    0.677462   0.0118247
          11    0.714678    0.680845   0.0112233
          12    0.596396    0.673808   0.0122981
          13    0.589544    0.667326    0.012948
          14    0.609968    0.663229   0.0126548
          15     0.63582    0.661402   0.0119423
          16    0.634834    0.659741   0.0113108
          17     0.77873     0.66674   0.0126267
          18    0.670814    0.666967   0.0119273
          19    0.684818    0.667906   0.0113365
          20    0.697456    0.669384   0.0108655
