#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.38112     1.38112           0
           2     1.36979     1.37546  0.00400647
           3     1.35599     1.36897  0.00593318
           4     1.35533     1.36556  0.00534105
           5     1.37099     1.36664  0.00438192
           6     1.35327     1.36442  0.00418046
           7     1.37024     1.36525  0.00366524
           8     1.35475     1.36394  0.00343397
           9     1.39123     1.36697  0.00418241
          10     1.39304     1.36958  0.00450406
          11     1.33865     1.36676  0.00489381
          12     1.37119     1.36713  0.00449987
          13     1.32696     1.36404  0.00510556
          14     1.41618     1.36777  0.00594591
          15     1.34732      1.3664  0.00570357
          16     1.31837      1.3634  0.00608608
          17     1.38537     1.36469  0.00586366
          18     1.35322     1.36406  0.00557247
          19     1.36827     1.36428  0.00528359
          20     1.36721     1.36443  0.00502144
