#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.14259     1.14259           0
           2     1.15721      1.1499  0.00516831
           3     1.10035     1.13339   0.0139188
           4     1.14192     1.13552   0.0106012
           5     1.12005     1.13243   0.0089211
           6     1.15264     1.13579  0.00804508
           7     1.16458     1.13991  0.00787673
           8     1.12598     1.13817  0.00708188
           9     1.11993     1.13614  0.00657855
          10     1.14666     1.13719  0.00600421
          11     1.12362     1.13596  0.00558371
          12     1.14457     1.13667  0.00516434
          13     1.15652      1.1382  0.00498764
          14     1.12612     1.13734  0.00470547
          15     1.13832      1.1374  0.00439223
          16     1.12828     1.13683  0.00415453
          17     1.14001     1.13702  0.00391434
          18     1.13671       1.137  0.00369692
          19     1.12875     1.13657   0.0035278
          20     1.14163     1.13682  0.00336047
