#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.028446    0.028446           0
           2    0.027068    0.027757 0.000487197
           3    0.027726   0.0277467 0.000324907
           4    0.025254   0.0271235 0.000592142
           5     0.02746   0.0271908 0.000477523
           6    0.029628    0.027597 0.000543923
           7    0.019956   0.0265054  0.00111296
           8    0.027354   0.0266115 0.000978878
           9    0.025578   0.0264967 0.000876823
          10    0.030408   0.0268878 0.000872027
          11    0.027998   0.0269887 0.000798571
          12    0.028444     0.02711 0.000741174
          13     0.02589   0.0270162 0.000690077
          14    0.030168   0.0272413 0.000676513
          15    0.028568   0.0273297 0.000637168
          16    0.027266   0.0273258 0.000597357
          17    0.026622   0.0272844 0.000563651
          18    0.031844   0.0275377 0.000586503
          19     0.03049   0.0276931  0.00057585
          20    0.029768   0.0277968 0.000556325
