#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.879776    0.879776           0
           2    0.907013    0.893394  0.00962966
           3    0.895984    0.894258  0.00645835
           4    0.908886    0.897915  0.00578734
           5    0.898632    0.898058  0.00463165
           6    0.894366    0.897443  0.00390037
           7    0.869712    0.893481  0.00496274
           8     0.89131     0.89321  0.00434981
           9    0.891701    0.893042  0.00386973
          10    0.870421     0.89078  0.00409087
          11    0.917034    0.893167  0.00435994
          12    0.903656    0.894041   0.0040833
          13    0.885646    0.893395  0.00381991
          14    0.904162    0.894164  0.00362365
          15    0.907574    0.895058  0.00349061
          16     0.89711    0.895186   0.0032748
          17    0.910506    0.896088  0.00320375
          18    0.885104    0.895477  0.00308333
          19     0.89887    0.895656  0.00292621
          20    0.875546     0.89465  0.00294761
