#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.082998    0.082998           0
           2    0.086636    0.084817  0.00128623
           3    0.071718   0.0804507  0.00366677
           4    0.085778   0.0817825  0.00298216
           5    0.083994   0.0822248   0.0024183
           6     0.09464    0.084294  0.00276211
           7     0.07963   0.0836277  0.00244656
           8    0.095118    0.085064  0.00252742
           9    0.070902   0.0834904  0.00269224
          10    0.086798   0.0838212  0.00244324
          11    0.074176   0.0829444  0.00237326
          12    0.097624   0.0841677  0.00247073
          13    0.087712   0.0844403  0.00229567
          14    0.084668   0.0844566  0.00213175
          15    0.084222   0.0844409  0.00198969
          16    0.107598   0.0858882  0.00233308
          17    0.080824   0.0855904  0.00221478
          18    0.091032   0.0858927  0.00211227
          19     0.07404   0.0852688  0.00209119
          20    0.079772    0.084994  0.00200461
