#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.322086    0.322086           0
           2    0.320575    0.321331 0.000534134
           3    0.316412    0.319691  0.00138526
           4    0.323672    0.320686   0.0013499
           5    0.318248    0.320199   0.0011647
           6    0.314343    0.319223  0.00131748
           7    0.311687    0.318146  0.00150618
           8    0.325482    0.319063  0.00157246
           9    0.317476    0.318887  0.00140759
          10    0.320463    0.319044  0.00127563
          11    0.323566    0.319456  0.00122411
          12     0.31163    0.318803  0.00128413
          13    0.320122    0.318905  0.00118934
          14    0.325227    0.319356  0.00118704
          15    0.319207    0.319346  0.00110794
          16     0.31685     0.31919  0.00104962
          17    0.316778    0.319048 0.000997428
          18    0.315735    0.318864 0.000958853
          19    0.315824    0.318704 0.000921641
          20    0.318886    0.318713 0.000875604
