#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.415774    0.415774           0
           2    0.415894    0.415834 4.24657e-05
           3    0.418058    0.416575 0.000605812
           4    0.414668    0.416098 0.000613949
           5     0.42427    0.417733  0.00154208
           6    0.415122    0.417298  0.00134504
           7     0.40995    0.416248  0.00150783
           8    0.434323    0.418507  0.00249151
           9    0.426381    0.419382  0.00236328
          10    0.418717    0.419316  0.00212789
          11    0.399265    0.417493  0.00260048
          12    0.435284    0.418976   0.0027744
          13    0.412444    0.418473  0.00260609
          14    0.418711     0.41849  0.00241999
          15    0.412721    0.418105  0.00228902
          16    0.419229    0.418176  0.00214703
          17    0.419591    0.418259  0.00202235
          18    0.428995    0.418855  0.00199601
          19    0.424545    0.419155  0.00191329
          20    0.401921    0.418293  0.00200229
