#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.053746    0.053746           0
           2     0.04624    0.049993  0.00265377
           3    0.046246    0.048744  0.00204206
           4    0.041698   0.0469825  0.00216166
           5     0.04504    0.046594   0.0017639
           6    0.050378   0.0472247  0.00157864
           7    0.050258    0.047658  0.00141134
           8    0.053872   0.0484348  0.00143281
           9    0.052714   0.0489102   0.0013502
          10    0.059036   0.0499228  0.00154902
          11    0.055824   0.0504593  0.00149822
          12     0.04906   0.0503427   0.0013779
          13     0.05326   0.0505671  0.00129005
          14    0.055394   0.0509119  0.00124312
          15    0.054878   0.0511763  0.00118803
          16    0.045554   0.0508249  0.00116459
          17    0.050592   0.0508112  0.00109616
          18    0.051814   0.0508669  0.00103668
          19    0.061292   0.0514156  0.00111793
          20    0.055406   0.0516151  0.00107969
