#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1           0           0           0
           2 0.000533253 0.000266627 0.000188534
           3   0.0217322  0.00742181  0.00584354
           4 0.000177769   0.0056108  0.00465483
           5   0.0397238   0.0124334   0.0071488
           6 0.000177769   0.0103908  0.00624233
           7 0.000533253  0.00898257  0.00550712
           8 0.000888667  0.00797083  0.00491079
           9  0.00177689  0.00728262  0.00441311
          10    0.139148   0.0204692   0.0131252
          11           0   0.0186083   0.0120632
          12    0.003552   0.0173536    0.011123
          13 0.000710969   0.0160734   0.0103408
          14 0.000888667   0.0149888  0.00965888
          15  0.00230961   0.0141435  0.00905186
          16   0.0725877   0.0177963  0.00919364
          17  0.00177689    0.016854    0.008701
          18  0.00035552   0.0159374  0.00826574
          19           0   0.0150986  0.00787315
          20   0.0678105   0.0177342  0.00790834
