#N_BLOCK:  ACCEPTANCE:
           1     2.4e-05
           2     1.2e-05
           3       8e-06
           4       6e-06
           5     4.8e-06
           6       4e-06
           7 3.42857e-06
           8       3e-06
           9 2.66667e-06
          10     2.4e-06
          11 2.18182e-06
          12       2e-06
          13 1.84615e-06
          14 1.71429e-06
          15     1.6e-06
          16     1.5e-06
          17 1.41176e-06
          18 1.33333e-06
          19 1.26316e-06
          20     1.2e-06
           1           0
           2           0
           3           0
           4           0
           5           0
           6           0
           7           0
           8           0
           9           0
          10           0
          11           0
          12           0
          13           0
          14           0
          15           0
          16           0
          17           0
          18           0
          19           0
          20           0
           1           0
           2           0
           3           0
           4           0
           5           0
           6           0
           7           0
           8           0
           9           0
          10           0
          11           0
          12           0
          13           0
          14           0
          15           0
          16           0
          17           0
          18           0
          19           0
          20           0
           1       2e-06
           2       7e-06
           3     8.6e-05
           4     6.6e-05
           5     7.4e-05
           6 6.16667e-05
           7     5.4e-05
           8     4.9e-05
           9     4.6e-05
          10    5.08e-05
          11 4.61818e-05
          12 4.51667e-05
          13 4.26154e-05
          14 4.15714e-05
          15    3.88e-05
          16     3.7e-05
          17 3.48235e-05
          18 3.34444e-05
          19 3.16842e-05
          20    3.87e-05
           1    0.001104
           2    0.001115
           3    0.001202
           4   0.0011695
           5   0.0014256
           6  0.00143433
           7    0.001318
           8  0.00131375
           9  0.00134044
          10   0.0014642
          11  0.00154364
          12  0.00147717
          13  0.00145923
          14  0.00149886
          15  0.00144013
          16  0.00148837
          17  0.00143741
          18  0.00148267
          19  0.00147989
          20   0.0014477
           1    0.010454
           2    0.011957
           3    0.011384
           4   0.0117415
           5   0.0120108
           6    0.012521
           7   0.0125174
           8    0.012997
           9   0.0130016
          10   0.0133726
          11   0.0134805
          12   0.0134055
          13   0.0135003
          14   0.0135879
          15   0.0133979
          16   0.0133125
          17   0.0132964
          18    0.013407
          19   0.0134573
          20   0.0134136
           1    0.045786
           2    0.046804
           3    0.049109
           4   0.0496612
           5   0.0484188
           6    0.048291
           7   0.0479711
           8   0.0476305
           9   0.0478502
          10    0.047325
          11   0.0469078
          12   0.0470409
          13   0.0473746
          14    0.047979
          15   0.0477705
          16   0.0480467
          17   0.0477661
          18   0.0478386
          19   0.0477364
          20   0.0476814
           1    0.091374
           2    0.090516
           3   0.0913683
           4   0.0918718
           5   0.0920136
