#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.013756    0.013756           0
           2    0.018654    0.016205   0.0017317
           3    0.017878   0.0167627  0.00124102
           4     0.01543   0.0164295  0.00097446
           5     0.01682   0.0165076 0.000782691
           6    0.020328   0.0171443 0.000873658
           7    0.016122   0.0169983 0.000760959
           8    0.018542   0.0171913 0.000689872
           9    0.016222   0.0170836 0.000621568
          10    0.018094   0.0171846 0.000567565
          11    0.018962   0.0173462 0.000538478
          12    0.019888    0.017558 0.000533642
          13    0.020114   0.0177546 0.000527571
          14    0.017842   0.0177609 0.000489924
          15     0.01641   0.0176708 0.000465466
          16    0.015928   0.0175619 0.000448939
          17    0.011892   0.0172284  0.00053219
          18    0.017572   0.0172474 0.000502966
          19     0.01936   0.0173586 0.000488629
          20    0.016436   0.0173125  0.00046637
