#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03478     0.03478           0
           2    0.031954    0.033367 0.000999142
           3     0.03842   0.0350513  0.00152807
           4    0.030004   0.0337895  0.00158354
           5    0.034034   0.0338384  0.00126759
           6    0.040714   0.0349843  0.00148665
           7     0.03496   0.0349809  0.00127427
           8     0.03596   0.0351033  0.00112085
           9    0.027956   0.0343091  0.00124628
          10    0.044746   0.0353528  0.00149615
          11    0.036996   0.0355022  0.00136757
          12      0.0296   0.0350103  0.00133914
          13    0.034692   0.0349858  0.00123635
          14     0.03351   0.0348804  0.00115253
          15    0.037394    0.035048  0.00108781
          16    0.031654   0.0348359  0.00104029
          17    0.032738   0.0347125 0.000986393
          18    0.030996    0.034506 0.000952958
          19    0.029698   0.0342529 0.000935797
          20    0.039852   0.0345329  0.00092994
