#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.015846    0.015846           0
           2    0.017964    0.016905 0.000748826
           3    0.018772   0.0175273 0.000712332
           4    0.013434    0.016504  0.00103481
           5     0.01594   0.0163912 0.000833973
           6    0.017914    0.016645 0.000732579
           7    0.015838   0.0165297 0.000636932
           8    0.022076    0.017223 0.000855082
           9    0.020554   0.0175931 0.000836345
          10    0.019142    0.017748 0.000766919
          11    0.019152   0.0178756  0.00070774
          12    0.022074   0.0182255 0.000730134
          13    0.028494   0.0190154  0.00101497
          14    0.016082   0.0188059 0.000963855
          15    0.021056   0.0189559 0.000911196
          16    0.019682   0.0190013 0.000855376
          17    0.022892   0.0192301 0.000835117
          18    0.017492   0.0191336 0.000794285
          19    0.014222   0.0188751 0.000793431
          20    0.022244   0.0190435 0.000771433
