#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.011742    0.011742           0
           2    0.013154    0.012448 0.000499217
           3    0.014596    0.013164 0.000672707
           4    0.017538   0.0142575  0.00107301
           5    0.014224   0.0142508 0.000858431
           6    0.015372   0.0144377 0.000735417
           7    0.013008   0.0142334 0.000658107
           8    0.017516   0.0146438 0.000692036
           9    0.017488   0.0149598 0.000683504
          10    0.009044   0.0143682 0.000832696
          11     0.01063   0.0140284 0.000823427
          12    0.011772   0.0138403  0.00077598
          13    0.016652   0.0140566 0.000745822
          14    0.011322   0.0138613 0.000717671
          15     0.01334   0.0138265 0.000670667
          16    0.012956   0.0137721 0.000630954
          17     0.01177   0.0136544  0.00060473
          18     0.01044   0.0134758 0.000596919
          19    0.013964   0.0135015 0.000566055
          20     0.01367   0.0135099 0.000537815
