#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.5979     10.5979           0
           2     10.5832     10.5906  0.00517288
           3     10.5543     10.5785   0.0104511
           4     10.5466     10.5705   0.0104437
           5     8.94659     10.2457    0.290617
           6      10.261     10.2483    0.242192
           7     10.2339     10.2462    0.207602
           8     11.2566     10.3725    0.216689
           9     10.3083     10.3654     0.19273
          10     10.8407     10.4129    0.179221
          11      9.6036     10.3393    0.177389
          12     10.1102     10.3202    0.163631
          13     9.89236     10.2873    0.154319
          14     10.4631     10.2999    0.143806
          15     10.8529     10.3368    0.138865
          16     10.5007      10.347    0.130564
          17     11.1173     10.3923    0.130509
          18     10.4199     10.3938    0.123268
          19     10.1569     10.3814    0.117409
          20       10.28     10.3763    0.111648
