#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.021708    0.021708           0
           2    0.014428    0.018068  0.00257387
           3      0.0271   0.0210787  0.00299785
           4    0.020742   0.0209945  0.00224957
           5    0.018212    0.020438  0.00186722
           6    0.021466   0.0206093  0.00156386
           7    0.014904   0.0197943  0.00153825
           8     0.01647   0.0193788  0.00140097
           9     0.02083     0.01954  0.00125455
          10     0.01925    0.019511  0.00112943
          11    0.028552   0.0203329  0.00129165
          12    0.019502   0.0202637  0.00118586
          13    0.018916     0.02016  0.00109916
          14    0.020774   0.0202039  0.00102153
          15    0.020292   0.0202097 0.000953443
          16    0.025784   0.0205581 0.000955386
          17     0.01981   0.0205141   0.0009002
          18    0.019964   0.0204836 0.000850708
          19    0.020344   0.0204762 0.000805965
          20    0.021702   0.0205375 0.000767994
