#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.319438    0.319438           0
           2    0.275002     0.29722   0.0157105
           3     0.28627     0.29357   0.0108894
           4    0.332344    0.303264   0.0117121
           5    0.322698     0.30715  0.00999388
           6     0.29731     0.30551  0.00846174
           7    0.280694    0.301965  0.00796101
           8    0.339518    0.306659  0.00823431
           9    0.326112    0.308821  0.00759777
          10     0.30194    0.308133  0.00686908
          11    0.305336    0.307878  0.00624932
          12    0.274852    0.305126  0.00630552
          13    0.303706    0.305017  0.00582142
          14     0.29859    0.304558  0.00542368
          15    0.264326    0.301876  0.00568674
          16    0.296726    0.301554  0.00534042
          17    0.262966    0.299284  0.00548751
          18    0.338372    0.301456  0.00559585
          19    0.311148    0.301966  0.00532453
          20     0.29203    0.301469  0.00508143
