#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431326    0.431326           0
           2    0.441807    0.436567   0.0037059
           3    0.429345    0.434159  0.00315698
           4    0.459044    0.440381  0.00588498
           5    0.417367    0.435778    0.006254
           6    0.432719    0.435268  0.00523241
           7    0.432501    0.434873  0.00449983
           8     0.44885     0.43662  0.00426307
           9    0.432687    0.436183  0.00381173
          10    0.443373    0.436902  0.00349771
          11    0.425095    0.435829  0.00334037
          12    0.432162    0.435523  0.00307595
          13    0.425699    0.434767   0.0029307
          14    0.446814    0.435628  0.00284489
          15    0.436135    0.435662  0.00265543
          16    0.421807    0.434796  0.00262685
          17    0.452377     0.43583  0.00266815
          18    0.438494    0.435978  0.00252402
          19    0.427846     0.43555  0.00242719
          20    0.423888    0.434967  0.00237483
