#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.24719     0.24719           0
           2    0.246612    0.246901 0.000204468
           3    0.248047    0.247283 0.000340207
           4    0.251267    0.248279 0.000899565
           5    0.250498    0.248723  0.00082185
           6    0.252543     0.24936 0.000898271
           7    0.245051    0.248744 0.000957895
           8    0.253145    0.249294 0.000983502
           9    0.246987    0.249038 0.000907027
          10    0.246487    0.248783 0.000851446
          11    0.254213    0.249276 0.000905935
          12    0.245344    0.248949 0.000887733
          13    0.249662    0.249004 0.000821142
          14    0.250319    0.249098 0.000767847
          15    0.246701    0.248938 0.000733086
          16    0.247741    0.248863 0.000691076
          17    0.250589    0.248964  0.00065784
          18    0.252597    0.249166 0.000651514
          19    0.248573    0.249135  0.00061797
          20    0.245923    0.248974 0.000607585
