#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.2176      0.2176           0
           2    0.206928    0.212264  0.00377312
           3    0.208866    0.211131  0.00268004
           4    0.225102    0.214624   0.0036317
           5    0.189542    0.209608  0.00534533
           6     0.21128    0.209886   0.0044617
           7    0.156726    0.202292  0.00800376
           8     0.18992    0.200745  0.00715114
           9    0.182298    0.198696  0.00664383
          10    0.210138     0.19984  0.00607718
          11     0.17819    0.197872  0.00583472
          12    0.191464    0.197338  0.00537287
          13    0.196122    0.197244  0.00496039
          14     0.23031    0.199606  0.00513768
          15    0.205162    0.199977   0.0048085
          16    0.212494    0.200759  0.00457117
          17    0.176706    0.199344  0.00451594
          18    0.227846    0.200927  0.00453417
          19    0.215556    0.201697  0.00436041
          20    0.214712    0.202348  0.00419066
