#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     0.70207     0.70207           0
           2    0.686172    0.694121  0.00562077
           3    0.689829    0.692691  0.00392507
           4    0.685074    0.690787  0.00337416
           5    0.686232    0.689876  0.00281962
           6    0.684618    0.688999  0.00248211
           7    0.680043     0.68772  0.00243508
           8    0.697466    0.688938  0.00241632
           9    0.681815    0.688147  0.00227376
          10    0.693404    0.688672  0.00210629
          11    0.672903    0.687239   0.0023526
          12     0.68543    0.687088  0.00216137
          13    0.690662    0.687363  0.00201252
          14    0.695658    0.687956  0.00195404
          15     0.68828    0.687977  0.00182389
          16    0.690357    0.688126  0.00171595
          17    0.693945    0.688468   0.0016488
          18    0.689036      0.6885   0.0015575
          19    0.684851    0.688308  0.00148732
          20    0.688353     0.68831  0.00141295
