#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.69312     7.69312           0
           2     7.30642     7.49977    0.136721
           3     7.48909     7.49621   0.0911933
           4     7.84055     7.58229    0.101173
           5     7.50589     7.56701   0.0820842
           6     7.22711     7.51036   0.0857521
           7      7.3226     7.48354   0.0775834
           8     7.34598     7.46635   0.0697651
           9      7.6318     7.48473   0.0643902
          10     7.09067     7.44532   0.0689628
          11     7.34355     7.43607    0.063311
          12     7.44715       7.437   0.0580418
          13     6.98113     7.40193   0.0632895
          14     7.68378     7.42206   0.0618882
          15     7.53473     7.42957   0.0582163
          16     7.20854     7.41576    0.056193
          17     7.42143     7.41609   0.0528885
          18     7.42835     7.41677   0.0499547
          19     7.41323     7.41659   0.0473258
          20     6.65522     7.37852   0.0582933
