#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         151    0.090724   0.0887164 0.000141394
         152   0.0909291   0.0887309 0.000141211
         153     0.09115   0.0887468  0.00014117
         154   0.0913865   0.0887639  0.00014129
         155   0.0916385   0.0887824 0.000141591
         156   0.0919054   0.0888025 0.000142091
         157   0.0921866    0.088824 0.000142812
         158   0.0924811   0.0888472 0.000143771
         159   0.0927867   0.0888719 0.000144986
         160   0.0931033   0.0888984 0.000146472
         161   0.0934279   0.0889265  0.00014824
         162   0.0937591   0.0889564 0.000150296
         163   0.0940949   0.0889879 0.000152644
         164   0.0944335   0.0890211 0.000155283
         165   0.0947707   0.0890559 0.000158204
         166   0.0951042   0.0890924 0.000161392
         167   0.0954321   0.0891303  0.00016483
         168   0.0957503   0.0891697 0.000168493
         169   0.0960566   0.0892105 0.000172353
         170   0.0963465   0.0892525 0.000176377
         171   0.0966189   0.0892955  0.00018053
         172    0.096869   0.0893396 0.000184772
         173   0.0970956   0.0893844 0.000189065
         174   0.0972959   0.0894299 0.000193368
         175   0.0974672   0.0894758 0.000197642
         176   0.0976085    0.089522 0.000201849
         177   0.0977181   0.0895683 0.000205951
         178   0.0977951   0.0896145 0.000209916
         179   0.0978388   0.0896605 0.000213712
         180   0.0978492    0.089706 0.000217313
         181   0.0978264   0.0897508 0.000220695
         182   0.0977713   0.0897949 0.000223839
         183   0.0976849    0.089838  0.00022673
         184   0.0975679     0.08988 0.000229357
         185   0.0974222   0.0899208 0.000231712
         186   0.0972506   0.0899602 0.000233793
         187   0.0970543   0.0899981 0.000235601
         188   0.0968359   0.0900345 0.000237139
         189   0.0965979   0.0900692 0.000238413
         190   0.0963428   0.0901023 0.000239434
         191   0.0960724   0.0901335 0.000240212
         192   0.0957893    0.090163  0.00024076
         193   0.0954959   0.0901906 0.000241093
         194   0.0951944   0.0902164 0.000241226
         195   0.0948865   0.0902403 0.000241175
         196   0.0945748   0.0902625 0.000240956
         197   0.0942608   0.0902828 0.000240586
         198   0.0939464   0.0903013 0.000240082
         199   0.0936325    0.090318 0.000239458
         200   0.0933212    0.090333 0.000238731
         201   0.0930138   0.0903464 0.000237916
         202   0.0927106   0.0903581 0.000237026
