#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         166      2.9508     2.97935   0.0010179
         167     2.94922     2.97917  0.00102768
         168     2.94766     2.97899  0.00103854
         169     2.94614     2.97879  0.00105042
         170     2.94468     2.97859  0.00106324
         171     2.94328     2.97839  0.00107689
         172     2.94197     2.97817  0.00109124
         173     2.94077     2.97796  0.00110615
         174     2.93967     2.97774  0.00112146
         175      2.9387     2.97751  0.00113702
         176     2.93787     2.97729  0.00115265
         177     2.93719     2.97706  0.00116819
         178     2.93666     2.97684  0.00118348
         179     2.93629     2.97661  0.00119835
         180     2.93608     2.97638  0.00121266
         181     2.93604     2.97616  0.00122627
         182     2.93615     2.97594  0.00123908
         183     2.93643     2.97573  0.00125098
         184     2.93686     2.97551  0.00126188
         185     2.93744     2.97531  0.00127173
         186     2.93816     2.97511  0.00128049
         187       2.939     2.97492  0.00128811
         188     2.93996     2.97473  0.00129461
         189     2.94103     2.97455  0.00129998
         190     2.94219     2.97438  0.00130425
         191     2.94344     2.97422  0.00130744
         192     2.94475     2.97407  0.00130961
         193     2.94612     2.97392   0.0013108
         194     2.94754     2.97378  0.00131108
         195     2.94899     2.97366  0.00131051
         196     2.95047     2.97354  0.00130915
         197     2.95196     2.97343  0.00130709
         198     2.95345     2.97333  0.00130437
         199     2.95494     2.97324  0.00130109
         200     2.95643     2.97315  0.00129729
         201     2.95789     2.97308  0.00129306
         202     2.95933     2.97301  0.00128845
         203     2.96075     2.97295  0.00128351
         204     2.96213     2.97289  0.00127832
         205     2.96347     2.97285  0.00127291
         206     2.96478     2.97281  0.00126733
         207     2.96604     2.97278  0.00126163
         208     2.96726     2.97275  0.00125584
         209     2.96842     2.97273     0.00125
         210     2.96954     2.97271  0.00124414
         211     2.97061      2.9727  0.00123829
         212     2.97162      2.9727  0.00123246
         213     2.97258      2.9727  0.00122667
         214     2.97348      2.9727  0.00122095
         215     2.97433     2.97271  0.00121529
         216     2.97512     2.97272  0.00120971
         217     2.97586     2.97274  0.00120423
         218     2.97654     2.97275  0.00119883
         219     2.97716     2.97277  0.00119352
         220     2.97773      2.9728  0.00118831
         221     2.97824     2.97282  0.00118319
         222     2.97869     2.97285  0.00117815
         223     2.97909     2.97287   0.0011732
         224     2.97943      2.9729  0.00116833
         225     2.97972     2.97293  0.00116353
         226     2.97995     2.97297   0.0011588
         227     2.98013       2.973  0.00115412
         228     2.98026     2.97303   0.0011495
         229     2.98033     2.97306  0.00114492
         230     2.98036     2.97309  0.00114038
         231     2.98033     2.97312  0.00113588
         232     2.98026     2.97315   0.0011314
         233     2.98014     2.97318  0.00112694
         234     2.97998     2.97321   0.0011225
         235     2.97977     2.97324  0.00111807
         236     2.97952     2.97327  0.00111365
         237     2.97923     2.97329  0.00110923
         238     2.97891     2.97332  0.00110482
         239     2.97854     2.97334  0.00110042
         240     2.97815     2.97336  0.00109601
         241     2.97772     2.97338  0.00109161
         242     2.97727     2.97339  0.00108722
         243     2.97679     2.97341  0.00108284
         244     2.97628     2.97342  0.00107846
         245     2.97576     2.97343   0.0010741
         246     2.97521     2.97344  0.00106976
         247     2.97466     2.97344  0.00106544
         248     2.97409     2.97344  0.00106115
         249     2.97351     2.97344  0.00105689
         250     2.97292     2.97344  0.00105266
         251     2.97233     2.97344  0.00104848
         252     2.97175     2.97343  0.00104434
         253     2.97116     2.97342  0.00104025
         254     2.97059     2.97341  0.00103621
         255     2.97002      2.9734  0.00103224
         256     2.96947     2.97338  0.00102832
         257     2.96894     2.97336  0.00102446
         258     2.96842     2.97334  0.00102067
         259     2.96792     2.97332  0.00101694
         260     2.96745      2.9733  0.00101328
         261     2.96701     2.97328  0.00100969
         262      2.9666     2.97325  0.00100615
         263     2.96622     2.97322  0.00100268
         264     2.96587      2.9732 0.000999273
         265     2.96556     2.97317 0.000995918
         266     2.96528     2.97314 0.000992615
         267     2.96505     2.97311  0.00098936
         268     2.96485     2.97308 0.000986148
         269     2.96469     2.97305 0.000982975
         270     2.96458     2.97301 0.000979834
         271      2.9645     2.97298 0.000976722
         272     2.96447     2.97295 0.000973633
         273     2.96447     2.97292 0.000970562
         274     2.96452     2.97289 0.000967504
         275     2.96461     2.97286 0.000964455
         276     2.96473     2.97283  0.00096141
         277      2.9649      2.9728 0.000958366
         278      2.9651     2.97277 0.000955319
         279     2.96533     2.97275 0.000952268
         280     2.96561     2.97272 0.000949208
         281     2.96591      2.9727 0.000946139
         282     2.96625     2.97268 0.000943061
         283     2.96662     2.97265 0.000939971
         284     2.96701     2.97263 0.000936872
         285     2.96743     2.97262 0.000933762
         286     2.96788      2.9726 0.000930644
         287     2.96835     2.97258 0.000927519
         288     2.96884     2.97257 0.000924389
         289     2.96936     2.97256 0.000921258
         290     2.96989     2.97255 0.000918127
         291     2.97043     2.97254 0.000915001
         292     2.97099     2.97254 0.000911883
         293     2.97157     2.97254 0.000908776
         294     2.97215     2.97253 0.000905686
         295     2.97274     2.97253 0.000902617
         296     2.97335     2.97254 0.000899571
         297     2.97396     2.97254 0.000896555
         298     2.97457     2.97255 0.000893572
         299     2.97518     2.97256 0.000890627
         300      2.9758     2.97257 0.000887724
         301     2.97642     2.97258 0.000884867
         302     2.97703      2.9726  0.00088206
         303     2.97765     2.97261 0.000879306
         304     2.97825     2.97263 0.000876609
         305     2.97885     2.97265 0.000873972
         306     2.97945     2.97267 0.000871398
         307     2.98003      2.9727 0.000868889
         308     2.98061     2.97272 0.000866448
         309     2.98117     2.97275 0.000864074
