#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         143     1.98254      1.9878 0.000686674
         144     1.98236     1.98777 0.000682944
         145     1.98215     1.98773  0.00067933
         146      1.9819     1.98769 0.000675847
         147     1.98161     1.98765 0.000672511
         148     1.98128      1.9876 0.000669342
         149      1.9809     1.98756  0.00066636
         150     1.98047     1.98751 0.000663591
         151     1.97999     1.98746 0.000661063
         152     1.97946     1.98741 0.000658805
         153     1.97888     1.98735 0.000656854
         154     1.97824     1.98729 0.000655247
         155     1.97755     1.98723 0.000654025
         156     1.97681     1.98716 0.000653233
         157     1.97602     1.98709 0.000652917
         158     1.97518     1.98702 0.000653124
         159     1.97429     1.98694 0.000653902
         160     1.97336     1.98685 0.000655296
         161     1.97239     1.98676 0.000657351
         162     1.97139     1.98667 0.000660105
         163     1.97036     1.98657 0.000663589
         164     1.96932     1.98646 0.000667827
         165     1.96826     1.98635 0.000672829
         166      1.9672     1.98624 0.000678597
         167     1.96614     1.98612 0.000685117
         168     1.96511     1.98599  0.00069236
         169     1.96409     1.98586 0.000700283
         170     1.96312     1.98573 0.000708829
         171     1.96219     1.98559 0.000717927
         172     1.96132     1.98545 0.000727493
         173     1.96051      1.9853 0.000737431
         174     1.95978     1.98516 0.000747641
         175     1.95914     1.98501 0.000758012
         176     1.95858     1.98486 0.000768434
         177     1.95813     1.98471 0.000778794
         178     1.95777     1.98456 0.000788983
         179     1.95753     1.98441 0.000798897
         180     1.95739     1.98426 0.000808437
         181     1.95736     1.98411 0.000817516
         182     1.95744     1.98396 0.000826054
         183     1.95762     1.98382 0.000833985
         184     1.95791     1.98368 0.000841255
         185     1.95829     1.98354 0.000847822
         186     1.95877     1.98341 0.000853658
         187     1.95933     1.98328 0.000858743
         188     1.95998     1.98315 0.000863074
         189     1.96069     1.98303 0.000866654
         190     1.96146     1.98292 0.000869498
         191     1.96229     1.98281 0.000871628
         192     1.96317     1.98271 0.000873073
         193     1.96408     1.98261 0.000873869
         194     1.96503     1.98252 0.000874055
         195     1.96599     1.98244 0.000873673
         196     1.96698     1.98236  0.00087277
         197     1.96797     1.98229 0.000871391
         198     1.96897     1.98222 0.000869582
         199     1.96996     1.98216 0.000867391
         200     1.97095      1.9821 0.000864862
         201     1.97193     1.98205 0.000862039
         202     1.97289     1.98201 0.000858964
         203     1.97383     1.98197 0.000855676
         204     1.97475     1.98193 0.000852211
         205     1.97565      1.9819 0.000848604
         206     1.97652     1.98187 0.000844887
         207     1.97736     1.98185 0.000841086
         208     1.97817     1.98183 0.000837229
         209     1.97895     1.98182 0.000833336
         210     1.97969     1.98181  0.00082943
         211      1.9804      1.9818 0.000825526
         212     1.98108      1.9818 0.000821639
         213     1.98172      1.9818 0.000817781
         214     1.98232      1.9818 0.000813963
         215     1.98289     1.98181 0.000810193
         216     1.98342     1.98181 0.000806477
         217     1.98391     1.98182 0.000802818
         218     1.98436     1.98184 0.000799219
         219     1.98477     1.98185 0.000795683
         220     1.98515     1.98186 0.000792207
         221     1.98549     1.98188 0.000788793
         222     1.98579      1.9819 0.000785437
         223     1.98606     1.98192 0.000782136
         224     1.98629     1.98194 0.000778888
         225     1.98648     1.98196 0.000775688
         226     1.98663     1.98198 0.000772531
         227     1.98675       1.982 0.000769415
         228     1.98684     1.98202 0.000766333
         229     1.98689     1.98204 0.000763281
         230      1.9869     1.98206 0.000760255
         231     1.98689     1.98208 0.000757251
         232     1.98684      1.9821 0.000754265
         233     1.98676     1.98212 0.000751292
         234     1.98665     1.98214 0.000748331
         235     1.98651     1.98216 0.000745378
         236     1.98635     1.98218 0.000742431
         237     1.98616      1.9822 0.000739487
         238     1.98594     1.98221 0.000736548
         239      1.9857     1.98223  0.00073361
         240     1.98543     1.98224 0.000730675
         241     1.98515     1.98225 0.000727743
         242     1.98485     1.98226 0.000724815
         243     1.98452     1.98227 0.000721892
         244     1.98419     1.98228 0.000718976
         245     1.98384     1.98229  0.00071607
         246     1.98348     1.98229 0.000713175
         247      1.9831     1.98229 0.000710295
         248     1.98272      1.9823 0.000707433
         249     1.98234      1.9823 0.000704592
         250     1.98195     1.98229 0.000701775
         251     1.98156     1.98229 0.000698985
         252     1.98117     1.98229 0.000696226
         253     1.98078     1.98228   0.0006935
         254     1.98039     1.98227 0.000690809
         255     1.98002     1.98226 0.000688157
         256     1.97965     1.98225 0.000685545
         257     1.97929     1.98224 0.000682974
         258     1.97895     1.98223 0.000680447
         259     1.97862     1.98222 0.000677962
         260      1.9783      1.9822 0.000675522
         261     1.97801     1.98218 0.000673125
         262     1.97773     1.98217  0.00067077
         263     1.97748     1.98215 0.000668456
         264     1.97725     1.98213 0.000666182
         265     1.97704     1.98211 0.000663946
         266     1.97686     1.98209 0.000661743
         267      1.9767     1.98207 0.000659573
         268     1.97657     1.98205 0.000657432
         269     1.97646     1.98203 0.000655316
         270     1.97638     1.98201 0.000653223
         271     1.97633     1.98199 0.000651148
         272     1.97631     1.98197 0.000649089
         273     1.97631     1.98195 0.000647042
         274     1.97635     1.98193 0.000645003
         275      1.9764     1.98191  0.00064297
         276     1.97649     1.98189  0.00064094
         277      1.9766     1.98187 0.000638911
         278     1.97673     1.98185  0.00063688
         279     1.97689     1.98183 0.000634845
         280     1.97707     1.98181 0.000632805
         281     1.97727      1.9818  0.00063076
         282      1.9775     1.98178 0.000628707
         283     1.97774     1.98177 0.000626648
         284     1.97801     1.98176 0.000624581
         285     1.97829     1.98174 0.000622508
         286     1.97859     1.98173 0.000620429
         287      1.9789     1.98172 0.000618346
         288     1.97923     1.98171 0.000616259
         289     1.97957     1.98171 0.000614172
         290     1.97992      1.9817 0.000612085
         291     1.98029      1.9817 0.000610001
         292     1.98066     1.98169 0.000607922
         293     1.98104     1.98169 0.000605851
         294     1.98143     1.98169 0.000603791
         295     1.98183     1.98169 0.000601744
         296     1.98223     1.98169 0.000599714
         297     1.98264     1.98169 0.000597703
         298     1.98305      1.9817 0.000595715
         299     1.98346     1.98171 0.000593751
         300     1.98387     1.98171 0.000591816
         301     1.98428     1.98172 0.000589911
         302     1.98469     1.98173  0.00058804
         303      1.9851     1.98174 0.000586204
         304      1.9855     1.98175 0.000584406
         305      1.9859     1.98177 0.000582648
         306      1.9863     1.98178 0.000580932
         307     1.98669      1.9818  0.00057926
         308     1.98707     1.98182 0.000577632
         309     1.98744     1.98183  0.00057605
         310     1.98781     1.98185 0.000574514
         311     1.98817     1.98187 0.000573025
         312     1.98851     1.98189 0.000571583
         313     1.98884     1.98192 0.000570188
         314     1.98916     1.98194 0.000568839
         315     1.98947     1.98196 0.000567535
         316     1.98976     1.98199 0.000566276
         317     1.99004     1.98201 0.000565059
         318      1.9903     1.98204 0.000563882
         319     1.99054     1.98207 0.000562745
         320     1.99077     1.98209 0.000561643
         321     1.99098     1.98212 0.000560575
         322     1.99117     1.98215 0.000559537
         323     1.99133     1.98218 0.000558527
         324     1.99148     1.98221 0.000557541
         325     1.99161     1.98224 0.000556575
         326     1.99171     1.98226 0.000555625
         327     1.99179     1.98229 0.000554689
         328     1.99184     1.98232 0.000553761
         329     1.99187     1.98235 0.000552838
         330     1.99188     1.98238 0.000551916
         331     1.99186     1.98241 0.000550991
         332     1.99181     1.98244 0.000550059
         333     1.99174     1.98247 0.000549116
         334     1.99164     1.98249 0.000548158
         335     1.99151     1.98252 0.000547182
         336     1.99135     1.98255 0.000546185
         337     1.99117     1.98257 0.000545163
         338     1.99095      1.9826 0.000544113
         339     1.99071     1.98262 0.000543033
         340     1.99043     1.98264 0.000541922
         341     1.99013     1.98267 0.000540777
         342     1.98979     1.98269 0.000539597
         343     1.98943     1.98271 0.000538381
         344     1.98903     1.98272  0.00053713
         345      1.9886     1.98274 0.000535844
         346     1.98815     1.98276 0.000534523
         347     1.98766     1.98277 0.000533169
         348     1.98714     1.98278 0.000531785
         349      1.9866     1.98279 0.000530374
         350     1.98602      1.9828 0.000528938
         351     1.98542     1.98281 0.000527484
         352     1.98478     1.98282 0.000526015
         353     1.98412     1.98282 0.000524538
         354     1.98343     1.98282 0.000523059
         355     1.98271     1.98282 0.000521585
         356     1.98196     1.98282 0.000520126
         357     1.98119     1.98282 0.000518689
         358     1.98039     1.98281 0.000517284
         359     1.97957      1.9828 0.000515922
         360     1.97872     1.98279 0.000514614
         361     1.97785     1.98277  0.00051337
         362     1.97695     1.98276 0.000512204
         363     1.97603     1.98274 0.000511128
         364     1.97509     1.98272 0.000510155
         365     1.97414      1.9827 0.000509299
         366     1.97316     1.98267 0.000508573
         367     1.97217     1.98264 0.000507992
         368     1.97116     1.98261 0.000507568
         369     1.97014     1.98258 0.000507316
         370     1.96911     1.98254 0.000507247
         371     1.96808      1.9825 0.000507375
         372     1.96705     1.98246 0.000507709
         373     1.96601     1.98241 0.000508259
         374     1.96499     1.98237 0.000509031
         375     1.96398     1.98232  0.00051003
         376     1.96299     1.98227 0.000511258
         377     1.96203     1.98221 0.000512713
         378      1.9611     1.98216  0.00051439
         379     1.96022      1.9821  0.00051628
         380     1.95939     1.98204 0.000518369
         381     1.95862     1.98198  0.00052064
         382     1.95793     1.98192  0.00052307
         383     1.95732     1.98185 0.000525634
         384     1.95679     1.98179   0.0005283
         385     1.95637     1.98172 0.000531035
         386     1.95606     1.98165 0.000533804
         387     1.95586     1.98159 0.000536568
         388     1.95579     1.98152 0.000539289
         389     1.95584     1.98145 0.000541928
         390     1.95603     1.98139 0.000544446
         391     1.95634     1.98133  0.00054681
         392     1.95679     1.98126 0.000548987
         393     1.95736      1.9812 0.000550949
         394     1.95806     1.98114 0.000552673
         395     1.95888     1.98109 0.000554141
         396     1.95981     1.98103 0.000555341
         397     1.96084     1.98098 0.000556268
         398     1.96196     1.98093  0.00055692
         399     1.96316     1.98089 0.000557303
         400     1.96443     1.98085 0.000557428
         401     1.96575     1.98081 0.000557308
         402     1.96711     1.98078 0.000556963
         403      1.9685     1.98075 0.000556413
         404      1.9699     1.98072 0.000555683
         405     1.97131      1.9807 0.000554797
         406      1.9727     1.98068  0.00055378
         407     1.97407     1.98066 0.000552657
         408     1.97541     1.98065 0.000551452
         409     1.97671     1.98064 0.000550188
         410     1.97795     1.98063 0.000548885
         411     1.97914     1.98063 0.000547561
         412     1.98026     1.98063 0.000546233
         413     1.98131     1.98063 0.000544913
         414     1.98229     1.98063 0.000543612
         415     1.98319     1.98064 0.000542337
         416       1.984     1.98065 0.000541093
         417     1.98474     1.98066 0.000539885
         418     1.98538     1.98067 0.000538711
         419     1.98594     1.98068 0.000537572
         420     1.98641     1.98069 0.000536465
         421     1.98679     1.98071 0.000535386
         422     1.98708     1.98072 0.000534331
         423     1.98729     1.98074 0.000533293
         424     1.98741     1.98076 0.000532267
         425     1.98744     1.98077 0.000531248
         426     1.98739     1.98079 0.000530228
         427     1.98726      1.9808 0.000529203
         428     1.98704     1.98082 0.000528167
         429     1.98674     1.98083 0.000527117
         430     1.98637     1.98084 0.000526048
         431     1.98591     1.98085 0.000524959
         432     1.98538     1.98087 0.000523848
         433     1.98477     1.98087 0.000522716
         434     1.98408     1.98088 0.000521564
         435     1.98333     1.98089 0.000520395
         436      1.9825     1.98089 0.000519215
         437     1.98161     1.98089 0.000518029
         438     1.98065     1.98089 0.000516847
         439     1.97962     1.98089 0.000515678
         440     1.97853     1.98088 0.000514533
         441     1.97738     1.98088 0.000513428
         442     1.97618     1.98087 0.000512376
         443     1.97492     1.98085 0.000511396
         444     1.97361     1.98084 0.000510504
         445     1.97226     1.98082  0.00050972
         446     1.97086     1.98079 0.000509066
         447     1.96943     1.98077 0.000508561
         448     1.96796     1.98074 0.000508229
         449     1.96647     1.98071 0.000508089
         450     1.96496     1.98067 0.000508164
         451     1.96343     1.98063 0.000508473
         452     1.96189     1.98059 0.000509036
         453     1.96035     1.98055  0.00050987
         454     1.95881      1.9805  0.00051099
         455     1.95728     1.98045  0.00051241
         456     1.95576      1.9804 0.000514138
         457     1.95426     1.98034 0.000516183
         458     1.95279     1.98028 0.000518548
         459     1.95135     1.98022 0.000521234
         460     1.94995     1.98015 0.000524238
         461     1.94858     1.98008 0.000527555
         462     1.94726     1.98001 0.000531176
         463     1.94598     1.97994  0.00053509
         464     1.94475     1.97986 0.000539282
         465     1.94358     1.97978 0.000543737
         466     1.94246      1.9797 0.000548436
         467      1.9414     1.97962 0.000553359
         468     1.94041     1.97954 0.000558485
         469     1.93947     1.97945 0.000563791
         470      1.9386     1.97936 0.000569253
         471     1.93779     1.97928 0.000574846
         472     1.93706     1.97919 0.000580545
         473      1.9364      1.9791 0.000586323
         474     1.93581       1.979 0.000592154
         475     1.93531     1.97891  0.00059801
         476     1.93489     1.97882 0.000603864
         477     1.93455     1.97873 0.000609688
         478     1.93431     1.97863 0.000615454
         479     1.93415     1.97854 0.000621136
         480      1.9341     1.97845 0.000626706
         481     1.93413     1.97836 0.000632139
         482     1.93427     1.97827  0.00063741
         483     1.93451     1.97817 0.000642497
         484     1.93484     1.97809 0.000647379
         485     1.93526       1.978 0.000652037
         486     1.93578     1.97791 0.000656456
         487     1.93639     1.97783 0.000660622
         488     1.93708     1.97774 0.000664524
         489     1.93784     1.97766 0.000668156
         490     1.93867     1.97758 0.000671513
         491     1.93957      1.9775 0.000674594
         492     1.94051     1.97743   0.0006774
         493      1.9415     1.97735 0.000679934
         494     1.94252     1.97728 0.000682204
         495     1.94357     1.97722 0.000684216
         496     1.94464     1.97715 0.000685982
         497     1.94572     1.97709 0.000687511
         498     1.94679     1.97703 0.000688816
         499     1.94787     1.97697  0.00068991
         500     1.94893     1.97691 0.000690806
         501     1.94997     1.97686 0.000691516
         502     1.95099     1.97681 0.000692056
         503     1.95199     1.97676 0.000692436
         504     1.95296     1.97671  0.00069267
         505      1.9539     1.97667 0.000692769
         506     1.95481     1.97662 0.000692746
         507     1.95569     1.97658 0.000692609
