#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     3.39141     3.19234   0.0107782
         169     3.37109      3.1934   0.0107662
         170     3.34039     3.19426   0.0107375
         171      3.3171     3.19498   0.0106987
         172     3.33012     3.19577   0.0106653
         173     3.32792     3.19653    0.010631
         174      3.3259     3.19727   0.0105959
         175     3.33086     3.19804   0.0105628
         176     3.33493     3.19881   0.0105314
         177     3.33547     3.19959   0.0105001
         178     3.33649     3.20036   0.0104693
         179     3.33534     3.20111   0.0104379
         180     3.32454      3.2018   0.0104024
         181     3.30994     3.20239   0.0103621
         182     3.30494     3.20296   0.0103205
         183     3.29563     3.20346   0.0102765
         184     3.27875     3.20387   0.0102288
         185      3.2836      3.2043   0.0101826
         186     3.31268     3.20489   0.0101445
         187     3.32558     3.20553   0.0101107
         188      3.3186     3.20613   0.0100748
         189     3.29665     3.20661   0.0100329
         190     3.27368     3.20696  0.00998629
         191     3.27374     3.20731  0.00994013
         192     3.29686     3.20778  0.00989929
         193     3.31467     3.20833  0.00986348
         194     3.31248     3.20887  0.00982724
         195     3.31106      3.2094   0.0097908
         196     3.31076     3.20991   0.0097545
         197     3.30486     3.21039  0.00971688
         198     3.28861     3.21079  0.00967583
         199     3.27209      3.2111  0.00963211
         200      3.3057     3.21157  0.00959556
         201     3.31137     3.21207  0.00956066
         202     3.30227     3.21251  0.00952375
         203     3.30296     3.21296  0.00948725
         204     3.30932     3.21343   0.0094525
         205     3.31288     3.21392  0.00941883
         206      3.3108     3.21439  0.00938484
         207     3.30156     3.21481  0.00934894
         208     3.28409     3.21514  0.00930993
         209     3.26499     3.21538  0.00926844
         210     3.25611     3.21557  0.00922633
         211     3.25461     3.21576  0.00918446
         212     3.23975     3.21587  0.00914183
         213     3.22637     3.21592  0.00909905
         214      3.2474     3.21607  0.00905772
         215     3.26764     3.21631  0.00901876
         216     3.27125     3.21656   0.0089806
         217     3.26495     3.21679  0.00894198
         218     3.25417     3.21696  0.00890261
         219     3.24321     3.21708  0.00886276
         220     3.23875     3.21718  0.00882302
         221     3.24547      3.2173  0.00878403
         222     3.25703     3.21748  0.00874629
         223     3.26403     3.21769  0.00870956
         224     3.25648     3.21786  0.00867239
         225     3.23009     3.21792  0.00863402
         226     3.23606       3.218  0.00859619
         227     3.26577     3.21821   0.0085609
         228     3.27433     3.21846  0.00852689
         229     3.26891     3.21868   0.0084925
         230     3.26054     3.21886  0.00845752
         231     3.25586     3.21902  0.00842243
         232     3.25264     3.21916  0.00838737
         233     3.25397     3.21931  0.00835271
         234     3.26252      3.2195  0.00831905
         235     3.27087     3.21972  0.00828652
         236     3.27155     3.21994  0.00825432
         237     3.24995     3.22006  0.00822046
         238     3.22141     3.22007  0.00818593
         239     3.24205     3.22016  0.00815219
         240     3.23041      3.2202  0.00811834
         241     3.23379     3.22026  0.00808485
         242     3.26562     3.22045  0.00805361
         243     3.27874     3.22069  0.00802404
         244      3.2556     3.22083  0.00799243
         245     3.21991     3.22083  0.00795981
         246     3.24371     3.22092    0.007928
         247     3.25438     3.22105  0.00789706
         248     3.25787      3.2212  0.00786661
         249     3.25312     3.22133  0.00783606
