#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     2.26094     2.12823  0.00718544
         169      2.2474     2.12893  0.00717744
         170     2.22692     2.12951  0.00715833
         171      2.2114     2.12999  0.00713247
         172     2.22008     2.13051  0.00711021
         173     2.21861     2.13102  0.00708733
         174     2.21726     2.13152   0.0070639
         175     2.22057     2.13202  0.00704185
         176     2.22329     2.13254   0.0070209
         177     2.22365     2.13306  0.00700008
         178     2.22433     2.13357  0.00697951
         179     2.22356     2.13407   0.0069586
         180     2.21636     2.13453  0.00693494
         181     2.20663     2.13493  0.00690805
         182     2.20329      2.1353   0.0068803
         183     2.19709     2.13564  0.00685098
         184     2.18583     2.13591  0.00681918
         185     2.18907      2.1362  0.00678837
         186     2.20845     2.13659  0.00676298
         187     2.21705     2.13702  0.00674048
         188      2.2124     2.13742  0.00671654
         189     2.19777     2.13774  0.00668859
         190     2.18246     2.13798  0.00665753
         191      2.1825     2.13821  0.00662675
         192     2.19791     2.13852  0.00659953
         193     2.20978     2.13889  0.00657565
         194     2.20832     2.13925  0.00655149
         195     2.20737      2.1396   0.0065272
         196     2.20718     2.13994    0.006503
         197     2.20324     2.14026  0.00647792
         198     2.19241     2.14053  0.00645056
         199      2.1814     2.14073  0.00642141
         200      2.2038     2.14105  0.00639704
         201     2.20758     2.14138  0.00637377
         202     2.20151     2.14168  0.00634917
         203     2.20197     2.14197  0.00632483
         204     2.20621     2.14229  0.00630166
         205     2.20859     2.14261  0.00627922
         206      2.2072     2.14292  0.00625656
         207     2.20104     2.14321  0.00623263
         208     2.18939     2.14343  0.00620662
         209     2.17666     2.14359  0.00617896
         210     2.17074     2.14372  0.00615089
         211     2.16974     2.14384  0.00612297
         212     2.15984     2.14391  0.00609456
         213     2.15092     2.14395  0.00606603
         214     2.16493     2.14405  0.00603848
         215     2.17843     2.14421  0.00601251
         216     2.18083     2.14437  0.00598707
         217     2.17663     2.14452  0.00596132
         218     2.16945     2.14464  0.00593507
         219     2.16214     2.14472  0.00590851
         220     2.15917     2.14478  0.00588202
         221     2.16365     2.14487  0.00585602
         222     2.17136     2.14499  0.00583086
         223     2.17602     2.14513  0.00580637
