#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         162    0.105796    0.111601  0.00319159
         163    0.108411    0.111582  0.00317207
         164    0.110481    0.111575  0.00315274
         165    0.108894    0.111559  0.00313367
         166    0.104398    0.111516  0.00311509
         167    0.101545    0.111456  0.00309701
         168    0.102615    0.111403  0.00307902
         169    0.107756    0.111382  0.00306088
         170    0.114735    0.111401  0.00304294
         171    0.118716    0.111444  0.00302544
         172    0.114611    0.111463  0.00300791
         173    0.112733     0.11147  0.00299053
         174    0.109923    0.111461  0.00297336
         175    0.105488    0.111427  0.00295656
         176    0.101328     0.11137  0.00294032
         177   0.0981383    0.111295  0.00292466
         178   0.0953257    0.111205   0.0029096
         179   0.0937321    0.111107  0.00289499
         180   0.0949058    0.111017   0.0028803
         181   0.0973224    0.110942  0.00286538
         182   0.0983582    0.110873  0.00285047
         183    0.100743    0.110817  0.00283543
         184    0.104339    0.110782  0.00282024
         185    0.102782    0.110739  0.00280533
         186   0.0966824    0.110663  0.00279126
         187   0.0946502    0.110578  0.00277765
         188   0.0976022    0.110509  0.00276373
         189    0.104155    0.110475  0.00274931
         190    0.110352    0.110474  0.00273484
         191    0.110767    0.110476  0.00272053
         192    0.105816    0.110452  0.00270647
         193    0.101965    0.110408   0.0026928
         194    0.102159    0.110365  0.00267926
         195    0.102271    0.110324  0.00266584
         196     0.10249    0.110284  0.00265254
         197    0.103938    0.110251  0.00263927
         198    0.107562    0.110238  0.00262597
         199    0.109563    0.110234  0.00261278
         200    0.101311     0.11019  0.00260009
         201   0.0986175    0.110132   0.0025878
         202   0.0984759    0.110075  0.00257563
         203   0.0962575    0.110006  0.00256384
         204    0.093016    0.109923  0.00255262
         205   0.0907833     0.10983  0.00254188
         206   0.0904618    0.109736  0.00253128
         207   0.0925085    0.109653  0.00252042
         208   0.0968712    0.109591  0.00250905
         209    0.101588    0.109553  0.00249734
         210    0.103816    0.109526  0.00248559
         211    0.104197      0.1095  0.00247394
         212    0.106707    0.109487  0.00246231
         213    0.107361    0.109477  0.00245077
         214    0.100327    0.109434  0.00243969
         215   0.0935661    0.109361  0.00242946
         216   0.0907057    0.109274  0.00241974
         217   0.0906963    0.109189  0.00241011
         218   0.0923022    0.109111   0.0024003
         219   0.0942562    0.109043  0.00239029
         220   0.0948387    0.108979   0.0023803
         221   0.0931323    0.108907  0.00237061
         222   0.0907554    0.108825  0.00236134
         223   0.0899732    0.108741  0.00235227
         224   0.0929898     0.10867  0.00234282
         225   0.0996461     0.10863  0.00233275
         226   0.0988583    0.108587  0.00232282
         227    0.093691    0.108521  0.00231352
         228    0.093051    0.108454  0.00230437
         229   0.0956631    0.108398  0.00229498
         230   0.0990955    0.108357  0.00228536
         231     0.10176    0.108329  0.00227564
         232    0.103787    0.108309  0.00226592
         233    0.104288    0.108292  0.00225626
         234    0.102897    0.108269  0.00224674
         235    0.101507     0.10824  0.00223736
         236    0.102092    0.108214  0.00222803
         237    0.107708    0.108212  0.00221863
         238    0.113561    0.108234  0.00220942
         239      0.1096     0.10824  0.00220019
         240    0.111669    0.108254  0.00219106
         241    0.109149    0.108258  0.00218198
         242     0.10137     0.10823  0.00217315
