TEMP, STEP, MU, SIGMA, BLOCK, EN, ERR
4, 83, 0.20503, 1.43811, 300, 0.778465, 0.0191694
4, 84, 0.20503, 1.43811, 300, 0.778465, 0.0144498
4, 85, 0.114238, 1.4594, 300, 0.908328, 0.00468125
4, 86, -0.015821, 1.22941, 300, -0.0206799, 0.0013805
4, 87, -0.299408, 1.15413, 300, -0.104429, 0.000990463
4, 88, -0.501868, 1.32949, 300, 0.602514, 0.00360273
4, 89, -0.501868, 1.32949, 300, 0.602514, 0.0121812
4, 90, -0.501868, 1.32949, 300, 0.602514, 0.00784183
4, 91, -0.207298, 0.991011, 300, -0.250253, 0.000908486
4, 92, -0.0708228, 1.18845, 300, -0.0827136, 0.00113088
4, 93, -0.356076, 1.65549, 300, 2.55735, 0.0112362
4, 94, -0.374373, 1.49243, 300, 1.34779, 0.00686933
4, 95, -0.436665, 1.28301, 300, 0.447878, 0.00352992
4, 96, -0.0278781, 0.872192, 300, -0.186347, 0.000676987
4, 97, -0.339016, 1.31744, 300, 0.405358, 0.00343743
4, 98, -0.48007, 1.19121, 300, 0.116349, 0.00166184
4, 99, -0.158261, 1.37038, 300, 0.442155, 0.00342664
4, 100, -0.158261, 1.37038, 300, 0.442155, 0.0130703
4, 101, -0.153512, 1.52835, 300, 1.57541, 0.00917674
4, 102, -0.337357, 1.21765, 300, 0.0802204, 0.0018774
4, 103, -0.337357, 1.21765, 300, 0.0802204, 0.00957352
4, 104, -0.407888, 0.779641, 300, -0.218115, 0.000769927
4, 105, -0.31873, 0.713702, 300, -0.0901365, 0.000411284
4, 106, 0.177307, 1.17761, 300, -0.127961, 0.00109356
4, 107, -0.257244, 0.679565, 300, 0.0136441, 0.000308347
4, 108, -0.628946, 0.573178, 300, -0.330998, 0.0011197
4, 109, -0.466157, 0.372092, 300, 0.322152, 0.0011986
4, 110, -0.619484, 0.838397, 300, -0.299708, 0.00107868
4, 111, -0.619484, 0.838397, 300, -0.299708, 0.00721969
4, 112, -0.235645, 0.976502, 300, -0.246352, 0.000938313
