# mu = 0.841978, sigma = -0.629806
BLOCK, ACTUAL_E, E_AVE, ERR
152, -0.483464, -0.444419, 0.00294383
153, -0.347316, -0.443784, 0.00292076
154, -0.392047, -0.443448, 0.00289961
155, -0.477529, -0.443668, 0.00288225
156, -0.462663, -0.44379, 0.00286444
157, -0.449039, -0.443823, 0.00284629
158, -0.471648, -0.444, 0.0028293
159, -0.391951, -0.443672, 0.00280945
160, -0.467829, -0.443823, 0.00279274
161, -0.423185, -0.443695, 0.0027745
162, -0.457258, -0.443779, 0.00275778
163, -0.449126, -0.443812, 0.00274095
164, -0.499145, -0.444149, 0.00272631
165, -0.390596, -0.443824, 0.00270783
166, -0.470204, -0.443983, 0.0026924
167, -0.438613, -0.443951, 0.00267598
168, -0.452451, -0.444002, 0.00266025
169, -0.447267, -0.444021, 0.00264452
170, -0.453087, -0.444074, 0.00262918
171, -0.423976, -0.443957, 0.00261304
172, -0.428571, -0.443867, 0.00259724
173, -0.453102, -0.443921, 0.00258244
174, -0.465753, -0.444046, 0.00256824
175, -0.474383, -0.44422, 0.0025545
176, -0.416525, -0.444062, 0.00253903
177, -0.435963, -0.444017, 0.00252433
178, -0.470522, -0.444165, 0.00251093
179, -0.447588, -0.444185, 0.00249692
180, -0.445733, -0.444193, 0.00248301
181, -0.480864, -0.444396, 0.00247037
182, -0.380633, -0.444045, 0.00245493
183, -0.344985, -0.443504, 0.00243881
184, -0.484791, -0.443728, 0.00242674
185, -0.46519, -0.443844, 0.00241419
186, -0.408334, -0.443654, 0.00240014
187, -0.430861, -0.443585, 0.00238687
188, -0.477447, -0.443765, 0.00237509
189, -0.423273, -0.443657, 0.00236188
190, -0.456213, -0.443723, 0.00234973
191, -0.430208, -0.443652, 0.00233699
192, -0.419123, -0.443524, 0.00232409
193, -0.440135, -0.443507, 0.00231189
194, -0.336029, -0.442953, 0.00229739
195, -0.434779, -0.442911, 0.00228533
196, -0.457589, -0.442986, 0.00227398
197, -0.38301, -0.442681, 0.00226093
198, -0.4381, -0.442658, 0.00224933
199, -0.470594, -0.442799, 0.00223868
200, -0.472899, -0.442949, 0.0022282
201, -0.404442, -0.442758, 0.00221613
202, -0.319047, -0.442145, 0.00220249
203, -0.46031, -0.442235, 0.00219203
204, -0.445046, -0.442248, 0.00218128
205, -0.418988, -0.442135, 0.00217004
206, -0.418574, -0.442021, 0.0021589
207, -0.430054, -0.441963, 0.00214813
208, -0.426481, -0.441888, 0.00213739
209, -0.447085, -0.441913, 0.00212722
210, -0.472482, -0.442059, 0.00211775
211, -0.437908, -0.442039, 0.00210756
212, -0.471775, -0.442179, 0.00209824
213, -0.45617, -0.442245, 0.00208864
214, -0.349553, -0.441812, 0.00207702
215, -0.490406, -0.442038, 0.00206841
216, -0.405389, -0.441868, 0.00205802
217, -0.326846, -0.441338, 0.00204636
218, -0.267388, -0.44054, 0.00203398
219, -0.449855, -0.440583, 0.00202483
220, -0.46457, -0.440692, 0.00201607
221, -0.4575, -0.440768, 0.00200724
222, -0.437785, -0.440754, 0.00199808
223, -0.471514, -0.440892, 0.00198971
224, -0.42889, -0.440839, 0.00198053
225, -0.463954, -0.440941, 0.00197214
226, -0.428355, -0.440886, 0.00196312
227, -0.444048, -0.4409, 0.00195448
228, -0.439413, -0.440893, 0.00194582
229, -0.48048, -0.441066, 0.00193806
230, -0.352633, -0.440682, 0.00192808
231, -0.424182, -0.44061, 0.00191938
232, -0.457125, -0.440681, 0.00191137
233, -0.26603, -0.439932, 0.00190054
234, -0.47484, -0.440081, 0.00189303
235, -0.408514, -0.439947, 0.00188437
236, -0.417707, -0.439852, 0.00187594
237, -0.48378, -0.440038, 0.0018688
238, -0.428069, -0.439987, 0.00186068
239, -0.419031, -0.4399, 0.00185249
240, -0.471714, -0.440032, 0.00184529
241, -0.416201, -0.439933, 0.00183719
242, -0.420283, -0.439852, 0.00182922
243, -0.450608, -0.439896, 0.00182183
244, -0.441401, -0.439903, 0.00181434
245, -0.509341, -0.440186, 0.00180814
246, -0.419637, -0.440103, 0.00180041
247, -0.405299, -0.439962, 0.00179253
248, -0.419868, -0.439881, 0.00178493
249, -0.455079, -0.439942, 0.00177797
250, -0.500737, -0.440185, 0.00177185
251, -0.492123, -0.440392, 0.00176562
252, -0.411246, -0.440276, 0.00175813
253, -0.45917, -0.440351, 0.00175143
254, -0.455399, -0.44041, 0.00174473
255, -0.369959, -0.440134, 0.00173685
256, -0.47245, -0.44026, 0.00173054
257, -0.340559, -0.439872, 0.00172243
258, -0.442559, -0.439882, 0.00171575
259, -0.461873, -0.439967, 0.00170942
260, -0.423369, -0.439904, 0.00170256
261, -0.435009, -0.439885, 0.00169593
262, -0.384765, -0.439674, 0.00168866
263, -0.47735, -0.439818, 0.00168277
264, -0.393957, -0.439644, 0.00167573
265, -0.364826, -0.439362, 0.0016684
266, -0.472467, -0.439486, 0.00166257
267, -0.39059, -0.439303, 0.00165566
268, -0.46817, -0.439411, 0.00164986
269, -0.452986, -0.439461, 0.00164387
270, -0.42927, -0.439423, 0.00163761
271, -0.458323, -0.439493, 0.00163179
272, -0.397363, -0.439338, 0.00162522
273, -0.354366, -0.439027, 0.0016182
274, -0.493241, -0.439225, 0.00161302
275, -0.488774, -0.439405, 0.00160781
276, -0.457687, -0.439471, 0.00160219
277, -0.435086, -0.439455, 0.00159632
278, -0.466263, -0.439552, 0.0015909
279, -0.479489, -0.439695, 0.00158569
280, -0.461067, -0.439771, 0.00158027
281, -0.0703663, -0.438457, 0.00157191
282, -0.480253, -0.438605, 0.00156685
283, -0.35748, -0.438318, 0.00156035
284, -0.328244, -0.437931, 0.00155363
285, -0.453743, -0.437986, 0.00154834
286, -0.483871, -0.438147, 0.00154347
287, -0.463028, -0.438233, 0.00153836
288, -0.488475, -0.438408, 0.00153362
289, -0.467069, -0.438507, 0.00152863
290, -0.429625, -0.438476, 0.00152321
291, -0.341639, -0.438143, 0.00151693
292, -0.473179, -0.438263, 0.00151212
293, -0.506517, -0.438496, 0.00150777
294, -0.290716, -0.437994, 0.00150119
295, -0.475188, -0.43812, 0.00149651
296, -0.405625, -0.43801, 0.00149106
297, -0.355035, -0.437731, 0.00148515
298, -0.472253, -0.437847, 0.00148053
299, -0.411902, -0.43776, 0.00147526
300, -0.398422, -0.437629, 0.00146989
