#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         169     4.59268     4.51867   0.0128869
         170     4.73175     4.51992    0.012872
         171     4.37058     4.51905   0.0128263
         172     4.57237     4.51936   0.0127554
         173     4.18885     4.51745    0.012824
         174     4.45533     4.51709   0.0127553
         175     4.67624       4.518   0.0127147
         176     4.41014     4.51739   0.0126573
         177     4.58334     4.51776   0.0125912
         178     4.53712     4.51787    0.012521
         179     4.45558     4.51752   0.0124559
         180     4.35531     4.51662   0.0124192
         181     4.38653      4.5159   0.0123714
         182     4.34482     4.51496   0.0123391
         183     4.77871      4.5164   0.0123555
         184     4.44809     4.51603   0.0122939
         185     4.53297     4.51612   0.0122278
         186     4.59267     4.51653    0.012169
         187     4.43411     4.51609   0.0121119
         188     4.76666     4.51742   0.0121206
         189     4.37232     4.51666   0.0120808
         190     4.62651     4.51723    0.012031
         191      4.5549     4.51743   0.0119696
         192     4.46026     4.51713    0.011911
         193     4.68985     4.51803   0.0118829
         194     4.26294     4.51671   0.0118941
         195     4.60198     4.51715   0.0118412
         196     4.49897     4.51706   0.0117811
         197     4.46473     4.51679   0.0117243
         198     4.46678     4.51654   0.0116678
         199     4.38354     4.51587   0.0116283
         200     4.31749     4.51488   0.0116124
