#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         160    -2649.16    -2627.21     1.16737
         161    -2603.88    -2627.07     1.16908
         162    -2613.87    -2626.99      1.1647
         163    -2621.25    -2626.95     1.15809
         164    -2621.95    -2626.92     1.15143
         165    -2651.65    -2627.07     1.15416
         166    -2648.91     -2627.2     1.15468
         167    -2636.78    -2627.26     1.14919
         168    -2625.63    -2627.25     1.14239
         169    -2622.03    -2627.22     1.13605
         170    -2606.94     -2627.1     1.13562
         171    -2639.39    -2627.17     1.13125
         172    -2626.16    -2627.17     1.12469
         173    -2658.48    -2627.35     1.13266
         174    -2633.13    -2627.38     1.12664
         175    -2612.57     -2627.3     1.12338
         176    -2639.54    -2627.36     1.11914
         177    -2620.07    -2627.32     1.11358
         178    -2625.26    -2627.31     1.10738
         179    -2630.39    -2627.33     1.10133
         180     -2648.4    -2627.45     1.10142
         181     -2634.6    -2627.49     1.09604
         182    -2647.29    -2627.59     1.09541
         183    -2604.13    -2627.47      1.0969
         184    -2633.21     -2627.5     1.09139
         185    -2625.94    -2627.49     1.08552
         186    -2623.19    -2627.47     1.07993
         187    -2633.61     -2627.5     1.07465
         188    -2610.38    -2627.41     1.07279
         189    -2642.72    -2627.49     1.07016
         190    -2620.16    -2627.45     1.06523
         191    -2625.01    -2627.44     1.05973
         192    -2629.14    -2627.45     1.05425
         193    -2611.35    -2627.36     1.05208
         194    -2647.35    -2627.47     1.05169
         195    -2618.59    -2627.42     1.04728
         196    -2628.21    -2627.42     1.04194
         197    -2633.21    -2627.45     1.03707
         198    -2629.48    -2627.46     1.03188
         199    -2640.33    -2627.53     1.02872
         200    -2646.24    -2627.62     1.02782
