#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -4.90712    -4.93179   0.0011007
         153    -4.97254    -4.93206  0.00112526
         154    -4.92149    -4.93199  0.00112004
         155    -4.91905    -4.93191  0.00111592
         156     -4.9387    -4.93195  0.00110962
         157    -4.92379     -4.9319  0.00110377
         158    -4.93559    -4.93192  0.00109703
         159     -4.9437      -4.932  0.00109263
         160     -4.9527    -4.93212  0.00109344
         161    -4.91019    -4.93199   0.0010951
         162     -4.9196    -4.93191  0.00109101
         163    -4.92654    -4.93188  0.00108481
         164     -4.9272    -4.93185  0.00107857
         165    -4.95503    -4.93199  0.00108114
         166    -4.95247    -4.93211  0.00108164
         167    -4.94112    -4.93217  0.00107651
         168    -4.93065    -4.93216  0.00107014
         169    -4.92727    -4.93213   0.0010642
         170    -4.91308    -4.93202  0.00106382
         171    -4.94356    -4.93209  0.00105974
         172    -4.93116    -4.93208   0.0010536
         173    -4.96141    -4.93225  0.00106106
         174     -4.9377    -4.93228  0.00105542
         175    -4.91838     -4.9322  0.00105238
         176     -4.9437    -4.93227  0.00104842
         177    -4.92544    -4.93223  0.00104321
         178    -4.93031    -4.93222   0.0010374
         179    -4.93513    -4.93223  0.00103174
         180      -4.952    -4.93234  0.00103183
         181    -4.93907    -4.93238   0.0010268
         182    -4.95095    -4.93248  0.00102621
         183    -4.91042    -4.93236  0.00102766
         184    -4.93777    -4.93239   0.0010225
         185    -4.93095    -4.93238    0.001017
         186    -4.92836    -4.93236  0.00101176
         187    -4.93815    -4.93239  0.00100682
         188    -4.91632    -4.93231  0.00100509
         189    -4.94667    -4.93238  0.00100264
         190    -4.92552    -4.93235 0.000998017
         191    -4.93008    -4.93234 0.000992863
         192    -4.93396    -4.93234 0.000987727
         193    -4.91723    -4.93227 0.000985709
         194    -4.95101    -4.93236 0.000985352
         195    -4.92405    -4.93232 0.000981222
         196    -4.93308    -4.93232 0.000976223
         197    -4.93777    -4.93235 0.000971659
         198    -4.93427    -4.93236   0.0009668
         199    -4.94444    -4.93242 0.000963847
         200    -4.94997    -4.93251 0.000963013
