#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         140   0.0555556   0.0555556 3.38549e-10
         141   0.0555556   0.0555556 3.41875e-10
         142   0.0555556   0.0555556 3.49519e-10
         143   0.0555556   0.0555556 3.48295e-10
         144   0.0555556   0.0555556 3.38295e-10
         145   0.0555556   0.0555556 3.37127e-10
         146   0.0555556   0.0555556 3.40362e-10
         147   0.0555556   0.0555556 3.47791e-10
         148   0.0555556   0.0555556 3.46614e-10
         149   0.0555556   0.0555556 3.45449e-10
         150   0.0555556   0.0555556 3.48469e-10
         151   0.0555556   0.0555556 3.47313e-10
         152   0.0555556   0.0555556 3.46169e-10
         153   0.0555556   0.0555556 3.53155e-10
         154   0.0555556   0.0555556 3.52007e-10
         155   0.0555556   0.0555556 3.54834e-10
         156   0.0555556   0.0555556 3.53695e-10
         157   0.0555556   0.0555556 3.52567e-10
         158   0.0555556   0.0555556 3.51449e-10
         159   0.0555556   0.0555556 3.50343e-10
         160   0.0555556   0.0555556   3.607e-10
         161   0.0555556   0.0555556 3.59578e-10
         162   0.0555556   0.0555556 3.58466e-10
         163   0.0555556   0.0555556 3.57365e-10
         164   0.0555556   0.0555556 3.56274e-10
         165   0.0555556   0.0555556 3.58873e-10
         166   0.0555556   0.0555556 3.57791e-10
         167   0.0555556   0.0555556 3.63925e-10
         168   0.0555556   0.0555556  3.6284e-10
         169   0.0555556   0.0555556 3.61765e-10
         170   0.0555556   0.0555556   3.607e-10
         171   0.0555556   0.0555556 3.63152e-10
         172   0.0555556   0.0555556 3.62095e-10
         173   0.0555556   0.0555556 3.61047e-10
         174   0.0555556   0.0555556 3.60008e-10
         175   0.0555556   0.0555556 3.62413e-10
         176   0.0555556   0.0555556 3.61382e-10
         177   0.0555556   0.0555556 3.63744e-10
         178   0.0555556   0.0555556  3.6272e-10
         179   0.0555556   0.0555556 3.61706e-10
         180   0.0555556   0.0555556   3.607e-10
         181   0.0555556   0.0555556 3.59702e-10
         182   0.0555556   0.0555556 3.58712e-10
         183   0.0555556   0.0555556 3.57731e-10
         184   0.0555556   0.0555556 3.66533e-10
         185   0.0555556   0.0555556 3.65542e-10
         186   0.0555556   0.0555556 3.64558e-10
         187   0.0555556   0.0555556 3.63581e-10
         188   0.0555556   0.0555556 3.62613e-10
         189   0.0555556   0.0555556 3.61653e-10
         190   0.0555556   0.0555556   3.607e-10
         191   0.0555556   0.0555556 3.62896e-10
         192   0.0555556   0.0555556  3.6195e-10
         193   0.0555556   0.0555556 3.61011e-10
         194   0.0555556   0.0555556 3.66235e-10
         195   0.0555556   0.0555556 3.65295e-10
         196   0.0555556   0.0555556 3.64362e-10
         197   0.0555556   0.0555556 3.63436e-10
         198   0.0555556   0.0555556 3.62517e-10
         199   0.0555556   0.0555556 3.64606e-10
         200   0.0555556   0.0555556 3.63693e-10
