# mu = 2, sigma = 1
BLOCK, ACTUAL_E, E_AVE, ERR
1, 20.1621, 20.1621, 0
2, 14.4223, 17.2922, 0
3, 15.1748, 16.5864, 6.00087
4, 13.9849, 15.936, 4.41511
5, 21.7399, 17.0968, 3.7875
6, 13.1035, 16.4313, 3.01187
7, 22.5499, 17.3054, 2.70494
8, 14.5569, 16.9618, 2.30145
9, 15.669, 16.8182, 2.01229
10, 22.8327, 17.4196, 1.87076
11, 14.4721, 17.1516, 1.66728
12, 14.194, 16.9052, 1.50094
13, 18.0573, 16.9938, 1.38599
14, 16.2124, 16.938, 1.27774
15, 12.423, 16.637, 1.17072
16, 19.0406, 16.7872, 1.10404
17, 17.4629, 16.827, 1.03841
18, 13.8129, 16.6595, 0.9696
19, 12.5437, 16.4429, 0.906294
20, 19.4714, 16.5943, 0.867304
21, 11.5706, 16.3551, 0.81459
22, 16.583, 16.3654, 0.776455
23, 17.2372, 16.4033, 0.743009
24, 22.3553, 16.6513, 0.72304
25, 20.1011, 16.7893, 0.699059
26, 18.3379, 16.8489, 0.673531
27, 17.0247, 16.8554, 0.647902
28, 21.9653, 17.0379, 0.631425
29, 17.0509, 17.0384, 0.608891
30, 18.5631, 17.0892, 0.589661
31, 14.1947, 16.9958, 0.567254
32, 14.1597, 16.9072, 0.546412
33, 18.7195, 16.9621, 0.531063
34, 22.1593, 17.115, 0.520114
35, 16.4643, 17.0964, 0.504263
36, 21.4146, 17.2163, 0.49356
37, 10.5269, 17.0355, 0.475901
38, 13.536, 16.9434, 0.460815
39, 15.8344, 16.915, 0.44792
40, 20.9848, 17.0167, 0.4392
41, 16.2629, 16.9984, 0.42772
42, 20.4679, 17.081, 0.419379
43, 20.3961, 17.1581, 0.411286
44, 17.4909, 17.1656, 0.401835
45, 19.0648, 17.2078, 0.39363
46, 16.7902, 17.1987, 0.384638
47, 13.5545, 17.1212, 0.374763
48, 12.6216, 17.0275, 0.365056
49, 12.3853, 16.9327, 0.355742
50, 16.2418, 16.9189, 0.348157
51, 17.6456, 16.9332, 0.341423
52, 11.785, 16.8342, 0.333079
53, 14.9348, 16.7983, 0.325988
54, 17.1934, 16.8056, 0.31992
55, 16.9849, 16.8089, 0.314006
56, 18.0178, 16.8305, 0.308646
57, 14.1321, 16.7831, 0.302333
58, 16.9016, 16.7852, 0.29702
59, 14.4267, 16.7452, 0.291233
60, 11.1294, 16.6516, 0.284971
61, 17.4598, 16.6649, 0.280399
62, 20.6298, 16.7288, 0.276903
63, 19.248, 16.7688, 0.273072
64, 13.478, 16.7174, 0.267981
65, 14.9643, 16.6904, 0.263365
66, 12.6997, 16.6299, 0.258478
67, 13.61, 16.5849, 0.253918
68, 18.7373, 16.6165, 0.250581
69, 24.2063, 16.7265, 0.248796
70, 15.6105, 16.7106, 0.244933
71, 17.2201, 16.7178, 0.241498
72, 18.6372, 16.7444, 0.238448
73, 11.0996, 16.6671, 0.234231
74, 14.9437, 16.6438, 0.230691
75, 20.5436, 16.6958, 0.228304
