#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.127795    0.127795           0
           2    0.130259    0.129027 0.000871368
           3    0.125666    0.127907  0.00108362
           4    0.128555    0.128069 0.000824738
           5    0.129291    0.128313 0.000695094
           6    0.127435    0.128167 0.000594464
           7    0.129555    0.128365 0.000541622
           8    0.129051    0.128451 0.000480654
           9     0.12782    0.128381 0.000432326
          10    0.127237    0.128266 0.000403948
          11    0.126272    0.128085 0.000405891
          12    0.129449    0.128199 0.000387647
          13    0.128884    0.128251 0.000361394
          14    0.130032    0.128379 0.000357271
          15    0.128641    0.128396  0.00033388
          16    0.127123    0.128317 0.000322351
          17    0.128983    0.128356 0.000305766
          18    0.126402    0.128247 0.000307433
          19    0.128313    0.128251 0.000291272
          20    0.128985    0.128287 0.000279013
