#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.00798     0.00798           0
           2     0.01228     0.01013  0.00152028
           3     0.02838   0.0162133  0.00506937
           4      0.0285    0.019285  0.00464023
           5     0.01858    0.019144  0.00371433
           6      0.0089   0.0174367  0.00346553
           7     0.02176   0.0180543  0.00302499
           8        0.02   0.0182975  0.00265662
           9      0.0219   0.0186978  0.00239141
          10     0.02716    0.019544  0.00229711
          11     0.01384   0.0190255  0.00214602
          12     0.02492   0.0195167  0.00202262
          13     0.01822   0.0194169  0.00186949
          14     0.00646   0.0184914  0.00195164
          15       0.039   0.0198587  0.00225004
          16     0.01208   0.0193725   0.0021613
          17     0.02514   0.0197118  0.00206062
          18     0.03096   0.0203367  0.00203869
          19     0.02366   0.0205116  0.00193888
          20     0.02634    0.020803  0.00186371
